bugId,effectiveness,keywords,tokens
28919,1,pleas bug prioriti pleas test reproduc bad abstract code pump public plc pvi link bad abstract privat int pump initi public class plc comm pvi pvi link event handler lang runtim bad abstract method code int nativ pump public plc link event org method gen init bcel gen sourc object type lazi gen aspectj org unknown org aspectj ajdt aj manag gener sourc org intern core builder aj build batch build run org ajc main unknown sourc tool main main main,waever weav nativ method don find bug pleas add bug make bug prioriti pleas includ test program reproduc bad abstract method code privat nativ int nativ messag pump initi public class plc comm pvi pvi link event handler impl bad abstract method code privat nativ int nativ messag pump initi public class plc comm pvi pvi link event handler impl java lang runtim bad abstract method code privat nativ int nativ messag pump initi public class plc comm pvi pvi link event handler impl org aspectj weaver bcel lazi method gen init unknown sourc org aspectj weaver bcel lazi class gen init unknown sourc org aspectj weaver bcel bcel object type lazi class gen unknown sourc org aspectj weaver bcel bcel weaver weav unknown sourc org aspectj weaver bcel bcel weaver weav unknown sourc org aspectj ajdt intern core builder aj build manag weav gener class file unknown sourc org aspectj ajdt intern core builder aj build manag batch build unknown sourc org aspectj ajdt ajc ajdt command run command unknown sourc org aspectj tool ajc main run unknown sourc org aspectj tool ajc main run main unknown sourc org aspectj tool ajc main main unknown sourc
28974,1,introduc field aspect produc ibm java amc java ajsampl mock bean ejb assign final field inter ibm amc amc import amc colyer enabl disabl window public aspect ejb declar bean implement static true transient bean ctx void ejb verbos inter type declar solv,compil error introduc final field aspect fail compil produc compil error ajc ibm amc java ibm amc ejb java eclips runtim workspac ajsampl mock ej bs ibm amc demo bean ejb java assign final field ibm amc demo bean ajc inter field ibm amc verbos sourc inform error packag ibm amc import ibm amc ejb session bean author colyer gener comment edit templat variabl typecom window prefer java templat enabl disabl creation type comment window prefer java code gener public aspect demo bean ejb declar parent demo bean implement session bean line culprit static final boolean demo bean verbos true privat transient string demo bean ctx public void demo bean ejb activ verbos system println ejb activ call make inter type declar final solv problem
29186,2,pointcut intertyp method,ajc emacssym choke pointcut includ intertyp method
30168,155,advic,error combin advic
29959,1,call intertyp method verifi error compil beta aspect void public void main string error java lang ajc dispatch signatur illeg nonvirtu function call java time express caus method declar showstopp,super call intertyp method declar bodi caus verifi error aspect compil beta program aspect foo void foo void foo super foo class class extend class main public static void main string arg caus error runtim thread main java lang verifi error class method ajc super dispatch foo signatur illeg nonvirtu function call main main foo java note foo call error load time express caus class load error foo method declar class directli kind showstopp doug
31423,10,static aop void,pointcut adviceexecut work pointcut adviceexecut pick advic execut join point beta program show problem public class test public static void main string arg aspect aspect execut test system println reach join point aspect aspect adviceexecut aspect system println reach join point aop bug adviceexecut ajc version aspect compil beta aop bug adviceexecut ajc test java aop bug adviceexecut java test reach execut void test main string
33635,22,pointcut,negat pointcut work
32463,1,static declar compil issu spuriou error exit neg code static declar write classfil caus problem adapt extract aspect pointcut test pointcut handl object call handl aspect file test static declar work static class static public static void system handl order end compil aj bug test null static nest null unwoven world find type test class aspectj wrote file bug,ajc report error encount static declar nest class version aspect compil beta ajc compil issu spuriou error messag exit neg error code weav code static declar nest class compil write classfil correctli neg exit statu caus problem ajc compil adapt ant reproduc extract file empti directori file aj aspect pointcut test test pointcut call handl order test call handl order object call handl order return dummi insert aspect end file aj file test java public class test comment static declar make work static class static nest class public static void main string arg system println test handl order test privat string handl order string return end test java compil file ajc sourceroot verbos output compil aspectj doc bug aj compil aspectj doc bug test java weav weav unwoven class file null test static nest class unwoven class file null unwoven class file null test world true wrote class file aspectj doc bug class find type test wrote class file aspectj doc bug test static nest class class wrote class file aspectj doc bug test class error
32421,1,resolv bug test import public static privat void parent implement monitor packag int type public int item devel aj bind type execut type count execut,resolv nest public interfac caus bug file transact test java import execut monitor public class transact test static transact transact privat void assert commit transact count method execut commit static aspect monitor test declar parent transact implement execut monitor monitor item class transact file execut monitor aj packag public aspect execut monitor public interfac monitor item int count string event type string event public int monitor item count string event type string event return sampl compil devel ajc transact test java execut monitor aj bind type execut monitor monitor item devel transact test java method count java lang string java lang string undefin type transact transact count method execut commit error
29934,3,null advic advic produc null lang null proce cycl bodi target run cflow bodi cflow cflow main bodi cflow cflow cflow cycl test xml org aspectj test testcas cycl advic public public main string arg tester expect target expect run tester event dup target void run target run cflow execut preiniti initi execut object target flow target proce target target object run return proce,runtim null pointer appli advic advic program run produc null pointer java lang null pointer ajc proce cflow cycl java ajc bodi cflow cycl java target run cflow cycl java cflow cycl run bodi cflow cycl java cflow cycl main bodi cflow cycl java cflow cycl main cflow cycl java cflow cycl java ajc test fail xml import org aspectj test tester testcas cflow cycl advic aspect public class cflow cycl public static void main string arg tester expect event target tester expect event target target run tester check event dup class target public void run aspect pointcut target run flow cflow target execut preiniti initi cflow target execut object target run flow tester event target return proce class aspect pointcut target run target execut object target run tester event target return proce
34820,81,pointcut,ajc aspectpath fail npe cflow pointcut
