bugId,effectiveness,keywords,tokens
101039,1,seri default creat pie chart creat chart multipl seri seri default expect pie chart addit assign,seri color default creat pie chart color grai default creat bar chart multipl seri addit seri grai default expect pie chart color default bar chart addit seri automat assign color default
101838,1,number row data work data sourc descript data preview script sourc reproduc creat data sourc relat data row prefer expect result set result row effect,maximum number row data set preview doesn work script data sourc descript maximum number row data set preview doesn work script data sourc step reproduc creat script data sourc creat relat data set set maximum number row prefer expect result work set result maximum number row set doesn effect
101827,1,written log messag pop step reproduc chart axi group format button format spcifier advanc click button result expect result process warn user trace java lang number format string java lang number format input string java lang decim format float decim java doubl birt swt composit composit format sp java birt chart swt composit composit format ifier format composit org chart composit dialog select format java org widget type listen type listen eclips event tabl event event tabl java eclips widget event widget java org swt displai run event displai widget read dispatch displai java org eclips ui workbench run event loop java ui workbench run ui ui intern creat workbench java eclips ui ui creat run workbench platform org intern id applic java eclips intern activ platform java org eclips core runtim starter java org eclips starter java sun reflect nativ invok method reflect nativ accessor accessor java reflect deleg method impl impl java lang method invok method java core launcher main basic java org java org launcher java,process written error log error messag pop warn user descrption step reproduc chart dialog data axi click seri group kei format button format spcifier dialog choos advanc type text click button result thrown expect result process written error log error messag pop warn user stack trace java lang number format input string xcsdf java lang number format input string number format java java lang float decim read java format string float decim java java lang doubl doubl java org eclips birt chart ui swt composit format composit build format sp ecifi format composit java org eclips birt chart ui swt composit format composit format spec ifier format composit java org eclips birt chart ui swt composit format dialog widget select format dialog java org eclips swt widget type listen handl event type listen java org eclips swt widget event tabl send event event tabl java org eclips swt widget widget send event widget java org eclips swt widget displai run defer event displai java org eclips swt widget displai read dispatch displai java org eclips ui intern workbench run event loop workbench java org eclips ui intern workbench run ui workbench java org eclips ui intern workbench creat run workbench workbench java org eclips ui platform ui creat run workbench platform ui java org eclips ui intern id id applic run id applic java org eclips core intern runtim platform activ run platform activ java org eclips core runtim adaptor eclips starter run eclips starter java org eclips core runtim adaptor eclips starter run eclips starter java sun reflect nativ method accessor impl invok nativ method sun reflect nativ method accessor impl invok nativ method accessor impl java sun reflect deleg method accessor impl invok deleg method accessor impl java java lang reflect method invok method java org eclips core launcher main basic run main java org eclips core launcher main run main java org eclips core launcher main main main java
101361,1,eclips extens extens manag manag class arrai address index bound line load method line present defn line load queri extens,bug org eclips birt report engin extens intern extens manag arrai index bug extens manag class configur element arrai address variabl address case caus arrai index bound line load gener extens defn method line load present extens defn method line load queri extens defn method
101821,1,descript time edit properti top level reproduc report grid transfer properti select grid click blue expect properti level modif,time edit properti properti sheet caus sheet collaps top level descript time edit properti properti sheet caus sheet collaps top level step reproduc blank report insert grid item transfer properti sheet select grid item expand properti click border bottom color blue expect result conveni modifi properti result properti sheet collaps top level expand modif
101372,1,limit data set jdbc connect data error list item sourc pleas search specif set tabl avoid data set schema,limit data set schema jdbc connect defin data set oracl jdbc data sourc error popup item view list item data sourc pleas filter search specif item data set item list show multipl schema tabl problem avoid limit data set schema set schema
101685,1,unabl report framework queri exist birt framework enabl report extens eclips design ui org birt report design model item org eclips report engin report item engin exist render report method api specif birt engin executor extend executor pleas snippet user view call present creat report present extens instanc present tag null item object item set queri item set resolut set gif jpg bmp present set emitt byte arrai input stream object output null row set row set null set execut row output item row set row set birt logger log level context add engin messag extend item render string handl item type content emitt content type finish throwabl logger log level context messag item handl extens nl close set row set exist call output item base method similar queri extend executor handl,unabl report item extens framework queri exist version birt framework enabl user defin report compon extend extens point org eclips birt report design ui report item ui org eclips birt report design model report item model org eclips birt report engin report item present engin exist problem render item report view framework method api invok queri defin report specif org eclips birt report engin executor extend item executor method call execut pleas refer code snippet method invok user view report call present peer creat content object report item present item present extens manag instanc creat present item tag item present null item present set model object handl item present set report queri extend item design item queri item present set resolut item present set local context local item present set support imag format gif png jpg bmp item present set output format emitt output format gener statu null item present deseri byte arrai input stream gener statu object output null row set row set null row set execut queri item row set null output item present row set row set catch birt logger log level messag context add engin messag constant extend item render error string handl extens null nl nl output null int type item present output type handl item content item emitt content type output item present finish catch throwabl logger log level error nl context add engin messag constant extend item render error string handl extens null nl nl final close queri row set row set queri exist method call output content report item present base anywher framework method similar method queri extend item executor modifi handl case
101810,1,work oper step reproduc data date oper result preview oper date data result,filter oper date time work descript oper date time work step reproduc jdbc data set set filter date time oper result oper date time data return preview page oper date time wrong data return expect result oper date time work
102498,1,execut perform test report ibm appar simpl chart report bug caus appar method call stack perform org data executor cach result set init birt executor cach result set filter object org eclips birt data engin executor cach result set fetch event result org birt engin impl filter process result object eclips data engin eval util eval express context eclips birt data engin eval context scriptabl string int eclips birt data script eval util script context string mozilla context evalu string scriptabl case rhino javascript string implement script run compil class instanc thrown class gener class case uniqu method javascript due unclear string compil script script eclips birt impl subclass understand reus fix architectur approach filter birt odi result compil cach object unclear widespread birt work implement simpler eleg solut recent cach eval util script text script improv gain js method evalu script cx scriptabl scope string script script script script script string script sourc line null cach script text result script exec cx evalu scope script text sourc line null rhino process error undefin instanc return return null result undefin throw script text valid express text sourc line nativ signific improv render window window reload reload implement grow script cach impact perform fix architectur sound approach timefram choic,script execut perform problem test suitabl birt report engin ibm seri unexpectedli poor perform encount appar simpl chart report attach bug report bit profil tptp caus appar method call stack caus perform problem org eclips birt data engin executor cach result set init org eclips birt data engin executor cach result set copi filter data row object org eclips birt data engin executor cach result set process fetch event result object org eclips birt data engin impl filter row process result object org eclips birt data engin script script eval util eval expr base express context scriptabl string int org eclips birt data engin script script eval util evalu js expr context scriptabl string string int org eclips birt data engin script script eval util evalu js script context scriptabl string string int org mozilla javascript context evalu string scriptabl string string int object case rhino compil javascript string optim java class implement script run compil script class execut class instanc thrown cost time pars class gener class load simpl attach case uniqu script run method javascript implement class gener due number time script evalu code execut script unclear path evalu string call cach compil script result rhino execut compil script class org eclips birt data engin impl compil express subclass show birt team understand compil reus part system obvious approach fix problem architectur sound approach filter row abstractli implement org eclips birt data engin odi result object event compil cach script object evalu string unclear limit knowledg code widespread problem birt codebas work implement simpler eleg solut build recent cach script eval util cach recent script evalu base text script test perform improv gain cach compil script naiv made evalu js script method compil cach string evalu privat static object evalu js script context cx scriptabl scope string script text string sourc int line throw data object result null script script script script cach script text script null script cx compil string script text sourc line null script cach put script text script result script exec cx scope result cx evalu string scope script text sourc line null rhino process incorrect express error thrown undefin instanc return return null result instanceof undefin throw script text valid express return null catch rhino rethrow js eval script text sourc line return convert nativ obj java obj result show signific improv attach report render time minut window ghz window seri seri load reload huge impact touch render chart reload report naiv implement account fact grow script cach prove cach result lru similar signific posit impact pleas perform fix architectur sound approach timefram lru cach good choic implement pleas
101409,1,quotat miss select set data data data set report set select expect result ad select result,quotat mark miss select string data set filter descript quotat mark miss select string data set filter step reproduc add data sourc data set report design file edit data set filter select string column edit select expect result quotat mark ad select result quotat mark ad select charact type
