bugId,effectiveness,keywords,tokens
10002,1,detect cde platform determin activ atom atom identifi dtwm desktop cde aix properti nice string hp solari common kevin cornel discuss sm,detect cde activ wm platform specif swt code determin activ desktop defin atom properti root window atom eclips identifi cde dtwm run program desktop cde aix defin properti nice string aix hp ux solari common kevin cornel discuss dt sm prefer defin properti platform
10426,1,travers hook activ acceler back steal file travers shell notifi travers handl chain intend bug hook widget children handl,esc travers hierarchi build hook esc activ editor acceler back doesn work steal renam file travers listen shell notifi esc travers handl esc parent chain intend bug hook esc parent widget children handl
10525,1,free tabl column edit tabl viewer creat column creat resiz code activ editor head fix test code pde editor broken,free tabl viewer column edit tabl viewer instanc creat column creat free work handl resiz tabl code activ cell editor explicitli creat column pleas head fix releas test code integr build otherwis pde editor broken renam entri list
11204,1,accept input activ frame translatel activ translat control ol control site translat acceler return error return code frame translat acceler return fals translat msg obj ol object translat error translat ol return obj ol activ object translat acceler msg,activ control accept kei input activ control accept kei input ol frame translatel ol acceler call activ control translat acceler control call ol control site translat acceler ol control site translat acceler return error implement control translat acceler return error code ol frame translat ol acceler method return code compar fals privat boolean translat ol acceler msg msg obj ol activ object null return fals return obj ol activ object translat acceler msg ol fals method return true error code translat ol acceler return obj ol activ object translat acceler msg ol
11498,1,style line style code color line move arrow kei move line color button show knut line color callback move import org eclips swt swt eclips swt import eclips swt widget eclips event import org eclips graphic public class static main shell shell set avocado test final text text shell border swt scroll scroll text final color avocado color displai text add line style line style event event int line offset int line line int end start event line length offset system start end style rang avacado style avacado style style swt color avocado style avacado set edit string word public class interfac extend throw implement oti int word append word int random word length append button button button mous mous mous event focu set size shell read dispatch displai shell,style text redraw line style build code attempt color line caret caret move problem arrow kei move caret line line style listen call line color press button widget redraw show line knut beliv line color background callback call callback call time caret move import org eclips swt swt import org eclips swt custom import org eclips swt widget import org eclips swt event import org eclips swt graphic public class style bug public static void main string arg shell shell shell shell set text avocado bug test final style text text style text shell swt border swt scroll swt scroll text set bound final color swt color avocado color shell displai text add line style listen line style listen public void line style line style event event int line text line offset event line offset int start text offset line line int end start event line text length int text caret offset system println line style start end event style style rang style rang avacado style style rang avacado style start start avacado style length end avacado style background swt color avocado event style avacado style text set edit true string word public import class interfac int extend throw implement doubl float felip steveo silenio swt veronika test oti blabla style helloworld int length word length int text append word int math random word length text append button button button shell swt push button set text redraw button set bound button add mous listen mous adapt public void mous org eclips swt event mous event text redraw text set focu shell set size shell open displai displai shell displai shell dispos displai read dispatch displai sleep shell dispos swt color avocado dispos
11182,2,scenario plug select sheet refus problem editor useless,properti sheet edit properti scenario creat pde plug project switch extens page creat action set extens select extens creat menu select menu creat separ select separ default properti sheet refus edit object properti edit major problem pde becaus make manifest editor useless extens element properti
12573,1,send event folder build hard time creat insid tab folder send select tab folder send code select line tabl parent problem import org swt swt import org org widget public static void main string arg displai displai displai set folder tab folder tab folder shell swt set item item tab swt tab item set text tab tabl folder swt item set control select listen public handl event system println select count item tabl item item swt visibl displai read,tabl send select event tab folder build hard time tabl creat insid tab folder send select event tab folder send code show problem select gener line consol output tabl parent shell gener line comment aren show problem import org eclips swt swt import org eclips swt layout fill layout import org eclips swt widget public class tabl test public static void main string arg displai displai displai shell shell shell displai shell set layout fill layout shell set size tab folder tab folder tab folder shell swt tab folder set layout fill layout tab item tab item tab item tab folder swt tab item set text tab final tabl tabl tabl tab folder swt tab item set control tabl tabl add listen swt select listen public void handl event event event system println tabl select count item select int tabl item item tabl item tabl swt item set text item shell set visibl true shell dispos displai read dispatch displai sleep
13432,1,ol control doesn setfocu ol messag child activ open editor swt set editor eclips prefer close dialog activ ol site call setfocu child control,ol control doesn propag wm setfocu messag activ control ol control site propag wm setfocu messag child activ control step open editor host activ control swt set keyboard focu editor open eclips prefer dialog close dialog keyboard focu isn restor activ control ol control site composit set focu method call doesn propag wm setfocu messag child activ control
13639,1,control linux motif bug tool item line move null widget otherwis separ public static void string displai displai displai displai final tool tool swt tool item tool item tool swt ti item tool separ ccombo swt swt int ccombo width tool set tool bug move ccombo move displai sleep displai dispos,control tool item eclips linux motif bug control set tool item uncom line ccombo move null combo widget toolbar otherwis separ public static void main string arg displai displai displai shell shell shell displai final tool bar tool bar tool bar shell swt flat swt border tool item ti tool item tool bar swt push ti tool item tool bar swt separ combo ccombo combo tool bar swt combo ccombo combo tool bar swt int ccombo add item ccombo pack ti set control ccombo ti set width tool bar set locat tool bar pack bug move ccombo move null shell open shell dispos displai read dispatch displai sleep displai dispos
13194,1,usabl tab open arrow close editor note arrow visibl visibl tag open scroll,usabl editor tab open editor arrow visibl start close editor side note arrow visibl visibl tag editor open scroll
