bugId,effectiveness,keywords,tokens
39699,1,deploi fail distribut flag encount strang problem cluster deploy xml server port shutdown class org apach catalina apr listen listen mbean lifecycl listen global org catalina storeconfig config lifecycl jndi resourc type java lang user databas type apach databas descript factori factori tomcat xml global servic servic catalina defin ssl http connector port address max http header size thread max spare lookup accept connect timeout ajp connector connector address integ sofinco processor thread min spare thread enabl lookup port protocol ajp timeout true catalina localhost rout uxdev org user databas resourc user databas host localhost app base webapp unpack auto deploi valid fals namespac fals cluster cluster class org apach catalina cluster cluster expir session true notifi listen replic true membership cluster mcast mcast servic mcast address mcast cluster domain polen integ mcast port frequenc time class org apach catalina replic listen listen polen tcp selector tcp thread count org tcp transmitt process stat process stat fals ack fals aliv class cluster tcp gif css jpg htm html class org catalina cluster jvm rout enabl true listen org apach cluster cluster listen listen org cluster session jvm id class org catalina cluster deploy home tomcat integ tmp dir catalina base webapp watch dir home polen tmp war watch true cluster host server dsitribut flag enabl error background catalina org apach catalina startup config archiv war background processor standard engin apach loader webapp access appli cation instanc stop java print error purpos attempt termin illeg illeg apach catalina webapp load class loader apach catalina loader class loader class class class loader load class intern unknown sourc org apach helper log log error log log helper pattern date pattern convert convert pattern parser org log helper pattern convert org apach log pattern layout format java apach log writer append append writer org append append roll file log append append apach append skeleton apach helper append impl append loop append apach categori append categori apach log log org apach categori java log impl log info log java apach catalina session manag delta java apach catalina core manag apach context org apach core base org catalina standard host add standard java org apach catalina config war java org startup host config deploi rs org apach catalina startup config app config java org config org startup host java org catalina util fire lifecycl event lifecycl core base background org process base background children java apach catalina core base processor java lang run unknown info background engin loader class loader applic ation instanc print trace caus rown debug attempt termin thread caus illeg function lang state apach catalina loader webapp class loader class loader org apach catalina webapp webapp class class load intern unknown sourc org apach log error log java org pattern convert convert java log pattern convert format pattern convert apach log pattern format pattern layout org log writer append append java log roll append file org apach writer append append java append skeleton org apach helper impl append attach apach append categori java apach log java log categori log categori java org common log impl log catalina cluster session delta manag java org catalina core manag base catalina standard standard context java org core base add java core base add apach standard host child host apach startup host config deploi host apach catalina startup config deploi rs host config java catalina config deploi app java org apach catalina host check config org catalina lifecycl event host java org catalina util lifecycl event support java org apach catalina java catalina base process base catalina background children java org apach core processor base java thread run unknown sourc standard engin org webapp loader access web ation instanc stop writer trace caus error attempt thread caus access onal impact lang org catalina class java org catalina webapp load class webapp class java load intern sourc org log java log categori categori java apach log categori impl logger org catalina cluster delta manag start base set catalina core standard context standard context org apach add org apach catalina core add child java org apach catalina standard host add child host java org startup host war config java org apach catalina config host org catalina startup deploi app apach startup host config config startup lifecycl host org apach catalina support fire lifecycl java core base background java apach core background process children java org apach processor java catalina processor run unknown sourc info background processor standard engin org catalina loader webapp loader illeg access web applic ation stop load org apach log vector writer caus thrown debug termin thread caus access impact state apach catalina webapp load class loader java org apach catalina webapp load class java lang loader load class intern log log event java log forc categori java apach categori log categori java org log impl logger logger java org apach catalina cluster session manag java org catalina core java catalina standard context start context java org catalina intern java org apach catalina add child base java apach catalina host add child host org apach host config host config java catalina startup host config org apach startup host config deploi app java org apach startup host config check java config lifecycl java org util lifecycl support fire org process java org apach core base background process children java core base background process base java base background java lang thread run error background standard apach model compon type monitor jsp modul localhost polen background processor standard org apach catalina startup config error web applic arc hive war java error org apach log vector org spi log event java apach categori forc log categori org log categori java common impl logger logger java org apach catalina cluster delta start org catalina base manag org catalina core context context java org apach catalina core child intern base org apach catalina core add base java standard add org catalina startup host java org apach catalina startup host config config java org startup host java org host check apach catalina startup event host config lifecycl fire lifecycl support apach core background org core base processor process background processor process base org base background processor java java thread run unknown sourc error background processor apach host config deploi web applic iv java lang def log apach log log event event org apach log forc java org log categori java org apach common log logger logger apach catalina session delta manag start delta manag org catalina base java catalina core standard context catalina core base base org add child base standard add host apach startup host config war java org host config deploi host startup deploi org catalina startup host config catalina lifecycl event host config org lifecycl fire event catalina core org base background processor base java org catalina base process children base apach catalina core base lang run manag webapp directori put web xml config error manual instanc restart applic error cours disabl cluster server,simpl deploi fail cluster distribut flag encount strang problem tomcat cluster webapp deploy server xml server port shutdown shutdown listen class org apach catalina core apr lifecycl listen listen class org apach catalina mbean server lifecycl listen listen class org apach catalina mbean global resourc lifecycl listen listen class org apach catalina storeconfig store config lifecycl listen global jndi resourc global resourc environ simpl type java lang integ resourc user databas auth type org apach catalina user databas descript user databas updat save factori org apach catalina user memori user databas factori pathnam conf tomcat user xml global resourc defin tomcat stand servic servic catalina defin ssl http connector port connector address polen integ port max http header size max thread min spare thread max spare thread enabl lookup fals accept count connect timeout disabl upload timeout true defin ajp connector port connector port address polen integ sofinco fr min processor max processor max thread min spare thread max spare thread enabl lookup fals redirect port protocol ajp disabl upload timeout true engin catalina default host localhost jvm rout uxdev realm class org apach catalina realm user databas realm resourc user databas host localhost app base webapp unpack rs true auto deploi true xml valid fals xml namespac awar fals cluster cluster class org apach catalina cluster tcp simpl tcp cluster cluster log true cluster log clusterlog expir session shutdown fals dirti flag true notifi listen replic true membership class org apach catalina cluster mcast mcast servic mcast addr mcast bind address mcast cluster domain polen integ mcast port mcast frequenc mcast drop time receiv class org apach catalina cluster tcp replic listen tcp listen address polen integ tcp selector timeout tcp thread count sender class org apach catalina cluster tcp replic transmitt replic mode fastasyncqueu transmitt process stat true process stat fals wait ack stat fals wait ack fals aliv max request count valv class org apach catalina cluster tcp replic valv filter gif js css png jpeg jpg htm html txt valv class org apach catalina cluster session jvm rout binder valv enabl true cluster listen class org apach catalina cluster session cluster session listen cluster listen class org apach catalina cluster session jvm rout session id binder listen deploy class org apach catalina cluster deploi farm war deploy temp dir home tomcat polen integ tmp war temp deploi dir catalina base webapp watch dir home tomcat polen integ tmp war listen watch enabl true cluster host engin servic server deploi dsitribut flag enabl error info background processor standard engin catalina org apach catalina startup host config deploi web applic archiv po len war info background processor standard engin catalina org apach catalina loader webapp class loader illeg access web appli cation instanc stop load java io print stream eventu stack trace caus error hrown debug purpos attempt termin thread caus illeg access function impact java lang illeg state org apach catalina loader webapp class loader load class webapp class loader java org apach catalina loader webapp class loader load class webapp class loader java java lang class loader load class intern unknown sourc org apach log helper log log error log log java org apach log helper pattern parser date pattern convert convert pattern parser java org apach log helper pattern convert format pattern convert java org apach log pattern layout format pattern layout java org apach log writer append append writer append java org apach log roll file append append roll file append java org apach log writer append append writer append java org apach log append skeleton append append skeleton java org apach log helper append attach impl append loop append append attach impl java org apach log categori call append categori java org apach log categori forc log categori java org apach log categori log categori java org apach common log impl log logger info log logger java org apach catalina cluster session delta manag start delta manag java org apach catalina core base set manag base java org apach catalina core standard context start standard context java org apach catalina core base add child base java org apach catalina core standard host add child standard host java org apach catalina startup host config deploi war host config java org apach catalina startup host config deploi rs host config java org apach catalina startup host config deploi app host config java org apach catalina startup host config check host config java org apach catalina startup host config lifecycl event host config java org apach catalina util lifecycl support fire lifecycl event lifecycl support java org apach catalina core base background process base java org apach catalina core base background processor process children base java org apach catalina core base background processor process children base java org apach catalina core base background processor run base java java lang thread run unknown sourc info background processor standard engin catalina org apach catalina loader webapp class loader illeg access web applic ation instanc stop load java io print stream eventu stack trace caus error rown debug purpos attempt termin thread caus illeg access function impact java lang illeg state org apach catalina loader webapp class loader load class webapp class loader java org apach catalina loader webapp class loader load class webapp class loader java java lang class loader load class intern unknown sourc org apach log helper log log error log log java org apach log helper pattern parser date pattern convert convert pattern parser java org apach log helper pattern convert format pattern convert java org apach log pattern layout format pattern layout java org apach log writer append append writer append java org apach log roll file append append roll file append java org apach log writer append append writer append java org apach log append skeleton append append skeleton java org apach log helper append attach impl append loop append append attach impl java org apach log categori call append categori java org apach log categori forc log categori java org apach log categori log categori java org apach common log impl log logger info log logger java org apach catalina cluster session delta manag start delta manag java org apach catalina core base set manag base java org apach catalina core standard context start standard context java org apach catalina core base add child intern base java org apach catalina core base add child base java org apach catalina core standard host add child standard host java org apach catalina startup host config deploi war host config java org apach catalina startup host config deploi rs host config java org apach catalina startup host config deploi app host config java org apach catalina startup host config check host config java org apach catalina startup host config lifecycl event host config java org apach catalina util lifecycl support fire lifecycl event lifecycl support java org apach catalina core base background process base java org apach catalina core base background processor process children base java org apach catalina core base background processor process children base java org apach catalina core base background processor run base java java lang thread run unknown sourc info background processor standard engin catalina org apach catalina loader webapp class loader illeg access web applic ation instanc stop load org apach log spi vector writer eventu stack trace caus error thrown debug purpos attempt termin thread caus illeg access functi onal impact java lang illeg state org apach catalina loader webapp class loader load class webapp class loader java org apach catalina loader webapp class loader load class webapp class loader java java lang class loader load class intern unknown sourc org apach log spi log event init log event java org apach log categori forc log categori java org apach log categori log categori java org apach common log impl log logger error log logger java org apach catalina cluster session delta manag start delta manag java org apach catalina core base set manag base java org apach catalina core standard context start standard context java org apach catalina core base add child intern base java org apach catalina core base add child base java org apach catalina core standard host add child standard host java org apach catalina startup host config deploi war host config java org apach catalina startup host config deploi rs host config java org apach catalina startup host config deploi app host config java org apach catalina startup host config check host config java org apach catalina startup host config lifecycl event host config java org apach catalina util lifecycl support fire lifecycl event lifecycl support java org apach catalina core base background process base java org apach catalina core base background processor process children base java org apach catalina core base background processor process children base java org apach catalina core base background processor run base java java lang thread run unknown sourc info background processor standard engin catalina org apach catalina loader webapp class loader illeg access web applic ation instanc stop load org apach log spi vector writer eventu stack trace caus error thrown debug purpos attempt termin thread caus illeg access functi onal impact java lang illeg state org apach catalina loader webapp class loader load class webapp class loader java org apach catalina loader webapp class loader load class webapp class loader java java lang class loader load class intern unknown sourc org apach log spi log event init log event java org apach log categori forc log categori java org apach log categori log categori java org apach common log impl log logger error log logger java org apach catalina cluster session delta manag start delta manag java org apach catalina core base set manag base java org apach catalina core standard context start standard context java org apach catalina core base add child intern base java org apach catalina core base add child base java org apach catalina core standard host add child standard host java org apach catalina startup host config deploi war host config java org apach catalina startup host config deploi rs host config java org apach catalina startup host config deploi app host config java org apach catalina startup host config check host config java org apach catalina startup host config lifecycl event host config java org apach catalina util lifecycl support fire lifecycl event lifecycl support java org apach catalina core base background process base java org apach catalina core base background processor process children base java org apach catalina core base background processor process children base java org apach catalina core base background processor run base java java lang thread run unknown sourc error background processor standard engin catalina org apach common model registri null compon catalina type jsp monitor jsp web modul localhost polen ee applic ee server error background processor standard engin catalina org apach catalina startup host config error deploi web applic arc hive polen war java lang class def found error org apach log spi vector writer org apach log spi log event init log event java org apach log categori forc log categori java org apach log categori log categori java org apach common log impl log logger error log logger java org apach catalina cluster session delta manag start delta manag java org apach catalina core base set manag base java org apach catalina core standard context start standard context java org apach catalina core base add child intern base java org apach catalina core base add child base java org apach catalina core standard host add child standard host java org apach catalina startup host config deploi war host config java org apach catalina startup host config deploi rs host config java org apach catalina startup host config deploi app host config java org apach catalina startup host config check host config java org apach catalina startup host config lifecycl event host config java org apach catalina util lifecycl support fire lifecycl event lifecycl support java org apach catalina core base background process base java org apach catalina core base background processor process children base java org apach catalina core base background processor process children base java org apach catalina core base background processor run base java java lang thread run unknown sourc error background processor standard engin catalina org apach catalina startup host config error deploi web applic arch iv polen war java lang class def found error org apach log spi vector writer org apach log spi log event init log event java org apach log categori forc log categori java org apach log categori log categori java org apach common log impl log logger error log logger java org apach catalina cluster session delta manag start delta manag java org apach catalina core base set manag base java org apach catalina core standard context start standard context java org apach catalina core base add child intern base java org apach catalina core base add child base java org apach catalina core standard host add child standard host java org apach catalina startup host config deploi war host config java org apach catalina startup host config deploi rs host config java org apach catalina startup host config deploi app host config java org apach catalina startup host config check host config java org apach catalina startup host config lifecycl event host config java org apach catalina util lifecycl support fire lifecycl event lifecycl support java org apach catalina core base background process base java org apach catalina core base background processor process children base java org apach catalina core base background processor process children base java org apach catalina core base background processor run base java java lang thread run unknown sourc deploi web manag applic simpl copi war webapp directori luck put distribut flag applic web xml config file encount error restart manual tomcat instanc restart applic correctli deploi error cours disabl cluster server xml problem
39769,1,class loader servlet destroi share thread loader applic unload case servlet class classload standard loader understand execut web context class loader standard problem occur standard unload call servlet class loader thread class class loader loader class stream swallow output log handler captur servlet instanc support instanc destroi instanc thread set context loader class system secur null util destroi instanc util variabl servlet share classload classload relat standard problem window occur uninstal problem gagnon,wrong class loader servlet destroi call servlet share directori web app thread thread context class loader applic unload case class share directori servlet class class loader share classload standard calss loader understand execut code web app thread thread context class loader webapp loader standard context problem occur standard wrapper unload call servlet destroi method class loader ctx class loader thread thread context class loader class loader class loader instanc class class loader print stream system swallow output system log handler start captur call servlet destroi method instanc support fire instanc event instanc event destroi event instanc thread thread set context class loader class loader system secur manag null secur util privileg destroi instanc secur util remov instanc els instanc destroi code instanc variabl servlet load share classload classload set thread classload relat standard context loader problem occur close window suppos occur uninstal web app notic problem verifi code problem david gagnon
40012,5,legaci el resolv variabl resolv scriplet wasn odd haven els scratch,legaci el support resolv variabl correctli page page context set attribut foo print page context express evalu evalu string class page context variabl resolv null notic print fine jsp resolv scriplet print saniti check test work glassfish ensur wasn odd find root caus haven found log case els itch scratch
34801,1,cgi servlet termin,patch cgi servlet termin child timeout
39689,1,ssi singl,tomcat server side includ ssi work singl
39592,3,small version org ssi ssi param page html ssi url url ssi page request page page enclos overload file fix tomcat dev decid creat report asf tetko org apach core applic log includ couldn file java couldn find file incl style html catalina ssi text servlet java org ssi ssi mediat text ssi apach catalina includ process ssi includ org apach catalina processor java org catalina ssi process ssi ssi servlet java catalina servlet org apach ssi ssi servlet java javax servlet servlet javax servlet servic http java javax servlet http http servlet servic http servlet java catalina core chain intern filter applic filter java org apach filter applic filter chain java applic dispatch applic java catalina includ applic dispatch java org catalina dispatch includ dispatch org catalina ssi ssi extern resolv file ssi servlet extern resolv java apach ssi file java org apach includ ssi java org ssi ssi ssi java org catalina servlet process ssi servlet request ssi servlet org ssi ssi servlet java http java servlet http servlet http http servlet core filter applic filter chain java catalina filter java org apach wrapper invok wrapper java apach catalina context valv invok standard valv catalina core host valv host valv catalina valv error valv java org apach valv fast access valv common valv standard engin valv standard org catalina connector coyot coyot adapt org apach coyot org http protocol connect connect http java org tomcat util pool tcp endpoint process pool java org apach tomcat net leader worker thread run worker thread tomcat util thread runnabl java thread run thread,ssi correctli process head request small bug tomcat version tomcat ssi org apach catalina ssi ssi servlet param virtual webapp param param param page html process ssi url pattern html url pattern request ssi compil page head request page compil page ssi gener number enclos error critic overload catalina file difficult fix report error tomcat dev decid creat formal bug report asf bugzilla fix big error annoi igor tetko apr org apach catalina core applic context log includ couldn includ file style html java io io couldn find file incl style html org apach catalina ssi ssi servlet extern resolv file text ssi servlet extern resolv java org apach catalina ssi ssi mediat file text ssi mediat java org apach catalina ssi ssi includ process ssi includ java org apach catalina ssi ssi processor process ssi processor java org apach catalina ssi ssi servlet process ssi ssi servlet java org apach catalina ssi ssi servlet request handler ssi servlet java org apach catalina ssi ssi servlet ssi servlet java javax servlet http http servlet head http servlet java javax servlet http http servlet servic http servlet java javax servlet http http servlet servic http servlet java org apach catalina core applic filter chain intern filter applic filter chain java org apach catalina core applic filter chain filter applic filter chain java org apach catalina core applic dispatch invok applic dispatch java org apach catalina core applic dispatch includ applic dispatch java org apach catalina core applic dispatch includ applic dispatch java org apach catalina ssi ssi servlet extern resolv file text ssi servlet extern resolv java org apach catalina ssi ssi mediat file text ssi mediat java org apach catalina ssi ssi includ process ssi includ java org apach catalina ssi ssi processor process ssi processor java org apach catalina ssi ssi servlet process ssi ssi servlet java org apach catalina ssi ssi servlet request handler ssi servlet java org apach catalina ssi ssi servlet ssi servlet java javax servlet http http servlet head http servlet java javax servlet http http servlet servic http servlet java javax servlet http http servlet servic http servlet java org apach catalina core applic filter chain intern filter applic filter chain java org apach catalina core applic filter chain filter applic filter chain java org apach catalina core standard wrapper valv invok standard wrapper valv java org apach catalina core standard context valv invok standard context valv java org apach catalina core standard host valv invok standard host valv java org apach catalina valv error report valv invok error report valv java org apach catalina valv fast common access log valv invok fast common access log valv java org apach catalina core standard engin valv invok standard engin valv java org apach catalina connector coyot adapt servic coyot adapt java org apach coyot http http processor process http processor java org apach coyot http http base protocol http connect handler process connect http base protocol java org apach tomcat util net pool tcp endpoint process socket pool tcp endpoint java org apach tomcat util net leader worker thread run leader worker thread java org apach tomcat util thread thread pool control runnabl run thread pool java java lang thread run thread java
38676,1,reload tagfil tag tagfil activ reload directori start jsp tomcat gener load jsp tagfil interv compil jsp runtim load lot collector method tag file jsp java reload flag load tag servlet wrapper java reload tag handler ctxt reload fals solv problem problem present becaus jsp wrapper instanti backround compil,perman reload tagfil class tagfil scenario jsp tag tagfil taglib activ reload web xml clean work directori start tomcat load jsp tomcat gener compil load jsp tagfil class check interv background compil thread jsp runtim context load tagfil class produc lot work garbag collector perman class unload tagfil class breakpoint method load tag file jsp servlet wrapper java show reload flag set fals load tag file jsp servlet wrapper java reload tag handler class ctxt load reload fals solv problem shure restart server problem present becaus jsp servlet wrapper instanti tagfil backround compil task check tagfil
40306,1,jk request bodi mod jk intercept post request properli restor mod connectiong tomcat directli expect ve jk orgin properli authent java string return null buffer root input stream test revert ad request paramet input stream stream request didn work authent protect save request request session equal method byte chunk bodi bodi set limit request max byte buffer int byte input stream stream byte buffer bodi append buffer byte,mod jk post request bodi restor success login mod jk form authent intercept post request protect resourc origin request properli restor success login mod jk connectiong tomcat directli post request restor expect ve test mod jk problem orgin request save properli ve narrow issu form authent java bodi string return null buffer null root problem read input stream test revert ad request paramet save add paramet inde work input stream buffer input stream request input stream didn work form authent java protect void save request request request session session throw io post equal case request method byte chunk bodi byte chunk bodi set limit request connector max save post size byte buffer byte int byte read input stream request input stream byte read read buffer bodi append buffer byte read save set bodi bodi
38713,1,io io tmp renam fail compil jsp http processor wrapper apach jasper jasper unabl compil jsp context java jasper jsp servlet wrapper servic jsp servlet wrapper java jasper jsp jsp jsp servlet java org jasper servic servlet http java apach core applic intern filter catalina chain java apach catalina core dispatch invok org apach catalina applic request org core dispatch org applic dispatch forward applic dispatch java springframework resourc merg model intern view java org web java org web servlet servlet servlet org servlet servlet org web servlet dispatch dispatch java springframework servlet framework servic wrapper java web servlet framework servlet javax servlet servic servlet java servlet http http servlet java chain core applic filter filter filter chain core wrapper java context valv invok valv java org apach valv org catalina valv valv invok report java org catalina core engin standard engin org apach catalina connector coyot adapt servic java apach coyot processor process java apach coyot http protocol connect handler connect http protocol java tomcat net endpoint process pool org tomcat net worker leader worker thread org util pool runnabl java thread run thread http processor error wirelessapp servic servlet wirelessapp java io renam file org sde instal instal util org apach jasper compil smap smap util java org compil java org apach jasper compil compil compil compil org compil java apach compil compil compil compil java org apach jasper jsp compil context jsp compil context org jasper servlet wrapper servic servlet java org apach jasper servlet servlet jsp jsp servlet org apach jasper servlet jsp servlet servic java javax servlet http http servlet servlet org apach catalina core chain chain org apach catalina applic filter java apach applic dispatch dispatch process catalina core applic org apach catalina applic forward java org springframework resourc merg output model intern resourc java springframework view abstract view render servlet org servlet dispatch org servlet dispatch servlet dispatch servlet java org web servlet wrapper servlet java springframework servlet servlet servlet servlet servlet org catalina chain intern filter chain java core chain java apach core standard invok wrapper valv core context invok standard java org standard java org error report valv invok error valv java org catalina core standard invok standard engin valv java catalina connector servic coyot org processor process processor http handler process http util tcp pool tcp apach tomcat net worker leader org tomcat thread thread runnabl run thread java,java io io tmp file renam class file fail compil jsp redeploi http processor error dispatch servlet servic wrapper complet request org apach jasper jasper unabl compil class jsp org apach jasper jsp compil context compil jsp compil context java org apach jasper servlet jsp servlet wrapper servic jsp servlet wrapper java org apach jasper servlet jsp servlet servic jsp file jsp servlet java org apach jasper servlet jsp servlet servic jsp servlet java javax servlet http http servlet servic http servlet java org apach catalina core applic filter chain intern filter applic filter chain java org apach catalina core applic filter chain filter applic filter chain java org apach catalina core applic dispatch invok applic dispatch java org apach catalina core applic dispatch process request applic dispatch java org apach catalina core applic dispatch forward applic dispatch java org apach catalina core applic dispatch forward applic dispatch java org springframework web servlet view intern resourc view render merg output model intern resourc view java org springframework web servlet view abstract view render abstract view java org springframework web servlet dispatch servlet render dispatch servlet java org springframework web servlet dispatch servlet dispatch dispatch servlet java org springframework web servlet dispatch servlet servic dispatch servlet java org springframework web servlet framework servlet servic wrapper framework servlet java org springframework web servlet framework servlet framework servlet java javax servlet http http servlet servic http servlet java javax servlet http http servlet servic http servlet java org apach catalina core applic filter chain intern filter applic filter chain java org apach catalina core applic filter chain filter applic filter chain java org apach catalina core standard wrapper valv invok standard wrapper valv java org apach catalina core standard context valv invok standard context valv java org apach catalina core standard host valv invok standard host valv java org apach catalina valv error report valv invok error report valv java org apach catalina core standard engin valv invok standard engin valv java org apach catalina connector coyot adapt servic coyot adapt java org apach coyot http http processor process http processor java org apach coyot http http protocol http connect handler process connect http protocol java org apach tomcat util net pool tcp endpoint process socket pool tcp endpoint java org apach tomcat util net leader worker thread run leader worker thread java org apach tomcat util thread thread pool control runnabl run thread pool java java lang thread run thread java http processor error wirelessapp invok servlet servic servlet wirelessapp threw java io io tmp file renam class file fail org apach jasper compil smap util sde instal instal smap util java org apach jasper compil smap util instal smap smap util java org apach jasper compil ant compil gener class ant compil java org apach jasper compil compil compil compil java org apach jasper compil compil compil compil java org apach jasper compil compil compil compil java org apach jasper jsp compil context compil jsp compil context java org apach jasper servlet jsp servlet wrapper servic jsp servlet wrapper java org apach jasper servlet jsp servlet servic jsp file jsp servlet java org apach jasper servlet jsp servlet servic jsp servlet java javax servlet http http servlet servic http servlet java org apach catalina core applic filter chain intern filter applic filter chain java org apach catalina core applic filter chain filter applic filter chain java org apach catalina core applic dispatch invok applic dispatch java org apach catalina core applic dispatch process request applic dispatch java org apach catalina core applic dispatch forward applic dispatch java org apach catalina core applic dispatch forward applic dispatch java org springframework web servlet view intern resourc view render merg output model intern resourc view java org springframework web servlet view abstract view render abstract view java org springframework web servlet dispatch servlet render dispatch servlet java org springframework web servlet dispatch servlet dispatch dispatch servlet java org springframework web servlet dispatch servlet servic dispatch servlet java org springframework web servlet framework servlet servic wrapper framework servlet java org springframework web servlet framework servlet framework servlet java javax servlet http http servlet servic http servlet java javax servlet http http servlet servic http servlet java org apach catalina core applic filter chain intern filter applic filter chain java org apach catalina core applic filter chain filter applic filter chain java org apach catalina core standard wrapper valv invok standard wrapper valv java org apach catalina core standard context valv invok standard context valv java org apach catalina core standard host valv invok standard host valv java org apach catalina valv error report valv invok error report valv java org apach catalina core standard engin valv invok standard engin valv java org apach catalina connector coyot adapt servic coyot adapt java org apach coyot http http processor process http processor java org apach coyot http http protocol http connect handler process connect http protocol java org apach tomcat util net pool tcp endpoint process socket pool tcp endpoint java org apach tomcat util net leader worker thread run leader worker thread java org apach tomcat util thread thread pool control runnabl run thread pool java java lang thread run thread java
31804,1,set parent nest tag tag,set parent call nest tag tag file tagx
