Project,BugId,Effectiveness,AP,RR,Keyword
AspectJ,423257,9.0,0.033263624,0.11111111,type java error
AspectJ,419279,1.0,0.2,1.0,xlintfil
AspectJ,415266,1.0,1.0,1.0,work enabl jmx jvm aspect load time weav jvm dvisualvm displai jdbc time dcom sun ssl fals dcom sun manag authent fals jmxremot port jar aspectjweav weaver cobalt infrastructur aspect jdbc note don enabl remov sun fine
AspectJ,418129,20.0,0.023729073,0.05,method trait pattern annot aspect aspect
AspectJ,407017,1.0,1.0,1.0,stack trace mute intern state deleg refer type trace build server print replac call build
AspectJ,408721,1.0,1.0,1.0,enter aspect state modif arrai itr check unknown sourc arrai na refer type find deriv type refer type parameter type type aspectjweav resolv parameter interfac refer aspectjweav java aspectjweav type impl point springframework releas releas
AspectJ,404600,1.0,1.0,1.0,st releas java asm type org asm remov relationship type java bcel bcel weaver weav bcel weaver java org weav entri aj compil adapt java weavin ndation java foundat persist aspect domain trait andi clement reproduc dev branch bfd ce java lang target trait foundat domain main scispik trait aspect domain org type java compil
AspectJ,404594,8.0,0.125,0.125,resolv type
AspectJ,318878,2.0,0.5,0.5,aspect safe aspect demonstr aspect constructor aspect pertarget aspect aspect aspect aspect aspect aspect applic access aspect stabl aspect version runtim hot tm vm mode decompil obj instanceof aspect aspect obj null safe caus java arg join ajc creat set method target
AspectJ,394535,1.0,0.5,1.0,superclass
AspectJ,399590,50.0,0.01,0.02,gener signatur
AspectJ,399408,2.0,0.5,0.5,exact annot type lang pointer annot type annot type org aspectj exact annot exact annot org annot type annot error org aspectj org aspectj declar match declar error aspectj declar parent org aspectj compil aj lookup declar aj org intern aj lookup type declar aj ajdt compil aj aspectj compil lookup aj aj org ajdt compil aj complet type bind aj
AspectJ,395221,4.0,0.25,0.25,mail aspect abstract moskito aspect object object subsystem clazz object privat object similar aspect super abstract aspect extend aspect extend moskito mojo maven plugin moskito moskito net anotheria moskito aspect moskito branch moskito net moskito intern pointcut pointcut pointcut intern
AspectJ,394234,1.0,1.0,1.0,java compil comput map javap comput tabl map tabl entri frame frame item map tabl entri frame type frame
AspectJ,389752,2.0,0.12953533,0.5,annot enum type privat git repo demonstr andi clement bug info case type instruct type pattern annot match shape line persist match annot type string type pattern string match annot jpa id properli enum public enum store type mongo jdo public type long type default mongo doesn mongo type default type doesn public aspect trait version version long version long long string void type aspect jl public type implement jl persist store jpa implement js declar type jpa jl jpa js entiti
AspectJ,389750,1.0,0.34615386,1.0,declar parent pattern runtim compil classfil encount undefin type paramet id remov gener interfac declar
AspectJ,388971,3.0,0.33333334,0.33333334,member synthet attribut flag
AspectJ,387444,-1.0,0.0,0.0,resourc
AspectJ,386049,12.0,0.056763288,0.083333336,error inter type
AspectJ,384398,5.0,0.10062854,0.2,type convert aspect aj aspect gener type de
AspectJ,384189,3.0,0.33333334,0.33333334,ajcor
AspectJ,382723,3.0,0.16716793,0.33333334,aspect privileg make
AspectJ,376351,1.0,0.5031546,1.0,java public static void main java extend public aspect local object object pointcut creat object creat aspect null aspect cygdriv aspectj ajc bat run cygdriv file java aspectj bat araj apr aspectj jdk trace regist fail java lang org type object type
AspectJ,376139,1.0,1.0,1.0,throw nullpoint version java lang aspectj org aspectj org declar analys code method org org declar type declar org org type declar build run java org core run worker step plugin
AspectJ,374745,115.0,0.0010869565,0.008695652,perform
AspectJ,362956,41.0,0.024390243,0.024390243,java lang null pointer org weaver annot annot type org annot type annot type java weaver annot type annot type java weaver annot type annot type org type type java weaver type type java org signatur signatur org weaver declar annot declar annot bcel weaver subset class weaver org declar field class aspectj bcel class org bcel weaver weaver org weaver weaver bcel weaver weaver org weaver ajdt aj compil adapt aj compil aj compil aj pipelin org ajdt aj adapt aj pipelin compil compil adapt org compil compil compil aj org eclips jdt compil compil compil org compil org ajdt intern aj perform aj manag org ajdt aj perform aj build core aj batch aj java org command ajdt org main
AspectJ,353457,1096.0,9.1240875E-4,9.1240875E-4,aspect
AspectJ,353349,1.0,1.0,1.0,delet dup aspectj bcel bcel shadow dup bcel shadow aspectj bcel shadow munger bcel shadow implement bcel bcel aspectj bcel bcel bcel bcel bcel bcel bcel bcel aspectj java loadtim pre
AspectJ,350855,1.0,1.0,1.0,misbehav subclass weav class rais spring insight observ weav aspect
