Project,BugId,Effectiveness,AP,RR,Keyword
Birt,422205,1.0,1.0,1.0,content mongo
Birt,389229,1.0,1.0,1.0,object render file identifi
Birt,403306,1.0,1.0,1.0,session loader holder
Birt,375294,1.0,1.0,1.0,identifi unsupport jboss sql adapt wrap protect throwabl sql throwabl instanceof sql sql jdbc javadoc datatool oda queri blob blob rs blob blob ms unsupport input stream rs blob blob stream sql postgr sql arrai byte byte blob arrai stream byte catch sql oda queri blob throw blob blob blob ms blob sql meth cl els unsupport input stream binari stream blob blob stream catch els postgr byte byte byte rs sql blob byte arrai input byte jconn
Birt,416987,1.0,1.0,1.0,arrai pad style short hand processor caus pad pt style processor css statement pt pad pt pt arrai short hand processor short hand processor hand short hand processor style processor style style processor style processor processor pad
Birt,416703,5.0,0.07298762,0.2,mongodb data type
Birt,417317,50.0,0.02,0.02,run interact
Birt,417305,71.0,0.014084507,0.014084507,chart data
Birt,417291,1.0,1.0,1.0,soapengin reflect compon reflect axi base base manag manag jetti jetti content end end end run element max interv dup suppress suppress wrap wrap
Birt,414088,1.0,1.0,1.0,root top root top content content top content
Birt,320365,1.0,0.3768926,1.0,instanc pattern emitt excel
Birt,405749,1.0,1.0,1.0,salar
Birt,416105,26.0,0.023860399,0.03846154,end remov space space
Birt,415915,1.0,1.0,1.0,npe multi page report editor save page instanc return null page save occur applic close close
Birt,415922,1.0,1.0,1.0,open design birt tvt navig navig data explor data data select tvt birt data chart blue select data data bind aggreg string highlight expect extra mnemon modifi
Birt,410905,158.0,0.006329114,0.006329114,date
Birt,407846,2.0,0.39285713,0.5,pojo properti
Birt,390669,3.0,0.33333334,0.33333334,doesn focu report item period aggreg
Birt,390630,1.0,1.0,1.0,access speak export label aggreg builder build id step
Birt,390675,1.0,1.0,1.0,hidden report paramet
Birt,368682,1.0,1.0,1.0,report report proxi input report proxi contextlaunch manag win en ws arch
Birt,412357,1.0,1.0,1.0,item font properti select discontinu lower select select pdf cross charact
Birt,375600,1.0,0.55994153,1.0,function bean
Birt,362714,1.0,1.0,1.0,sql sql sql odaconsum big report report data oda jdbc jdbc big error
Birt,355407,1.0,1.0,1.0,chart event expand test packag osx work pick tar straight work select report licens instal report design view report creat creat code customernam custom creditlimit custom custom state ca code creat default svg continu data eclips consist work chart simpli finish tab report select continu creditlimit button pop drop list didn expand effect access event mous drop cursor list style problem li step eclips event load interact load fine osx wasn event ui version
