Project,BugId,Effectiveness,AP,RR,Keyword
JDT,424772,1.0,0.5769231,1.0,indent singl
JDT,424852,1.0,0.64285713,1.0,creat past delimit prefer creat cu
JDT,404471,1.0,0.52040815,1.0,method error appli method method public overrid public void method deleg overrid move public overrid error public
JDT,423689,1.0,0.38977003,1.0,quick fix creat loop int creat
JDT,409707,11.0,0.09090909,0.09090909,properti file remov properti
JDT,410371,3.0,0.17551623,0.33333334,type import
JDT,408334,1.0,0.50497514,1.0,interfac eclips fail fail eclips core true org core runtim eclips core refactor text content text java org eclips text edit text edit viewer
JDT,420188,1.0,1.0,1.0,bind type type bind type method row
JDT,417765,1.0,1.0,1.0,imag descriptor registri hook
JDT,422792,1.0,1.0,1.0,quick assist convert raw collect convert
JDT,421506,15.0,0.06666667,0.06666667,addit save code eclips guidelin
JDT,251824,1.0,1.0,1.0,action correct indent remov whitespac comment
JDT,421040,2.0,0.28125,0.5,type javadoc type declar modifi suppos modifi sourc declar
JDT,421160,1.0,1.0,1.0,paramet guess propos public
JDT,385237,1.0,0.5026385,1.0,type add type paramet identifi enclos type paramet compil compil refer type type add type type type paramet type paramet type
JDT,395989,1.0,0.5013089,1.0,type type throw yield object thrown type throwabl bug throw select object type report
JDT,419692,1.0,1.0,1.0,java type decor imag
JDT,394030,1.0,0.5041152,1.0,extract method extract express type argument yield compil error extract refactor express result compil make refer type extract method static becaus argument type paramet static class bug method map invok extract method extract method int anirudh balagop report
JDT,393098,1.0,0.312601,1.0,extract method declar extract method extract declar method extract express method method declar static becaus method note origin encount extract line framework dfe aff ad fe method line extract method express
JDT,418692,1.0,0.24783213,1.0,extract method duplic method
JDT,395558,5.0,0.10177469,0.2,paramet introduc paramet object type
JDT,218431,1.0,0.8333334,1.0,inlin constant result code
JDT,418384,29.0,0.03448276,0.03448276,ltk
JDT,417012,1.0,1.0,1.0,suppress detect problem error
JDT,416401,1.0,1.0,1.0,complianc back checkbox
JDT,416022,1.0,0.530303,1.0,clean refactor perform project format problem state
JDT,217753,2.0,0.3409091,0.5,move method method method compil error
JDT,356687,1.0,0.53225803,1.0,move method method invoc compil refactor
JDT,411529,1.0,0.5007062,1.0,refer packag protect void packag public class pop warn messag visibl refactor protect
JDT,411636,37.0,0.030180182,0.027027028,burn project explor
JDT,414960,1.0,1.0,1.0,content complet leav link mode complet call caret trail semicolon becaus code complet line kei
JDT,159917,1.0,0.7,1.0,convert anonym convert anonym nest gener code convert anonym class gener java void public isup class super final int public thing wrong class static assign
JDT,269401,1.0,0.35416666,1.0,inlin anonym class break inlin inlin method class bug void void
JDT,394547,1.0,0.5555556,1.0,class extract refactor error compil result file extract nest li
JDT,409520,1.0,1.0,1.0,method beta master add method default method class add stub char default method sourc overrid implement method method
JDT,411794,3.0,0.17351599,0.33333334,add unit view view
