Project,BugId,Effectiveness,AP,RR,Keyword
Eclipse_Platform_UI,384108,48.0,0.020833334,0.020833334,happili identifi id run icon check fail run id
Eclipse_Platform_UI,385394,1.0,0.18120553,1.0,method call mechan eclips contribut toolbar menu entri set enabl method call focu select part tobia
Eclipse_Platform_UI,423588,4.0,0.25,0.25,failur empti editor open hit ctrl lot org ui lang null pointer resourc imag data init imag data java jface imag imag imag java eclips intern element descriptor editor eclips quickaccess entri imag access entri eclips intern quick access entri entri intern access content event quick content org eclips widget event java eclips swt widget displai event widget send event widget java widget widget send widget swt widget send event org eclips widget event java org eclips swt tabl size proc eclips widget size proc org swt intern gtk main event nativ method intern os org displai java eclips intern gtk os tree set nativ org swt intern gtk os gtk view cursor eclips swt widget select focu index java org eclips widget tabl tabl ui intern access refresh quick org eclips intern content text quick listen handl type org swt widget event event org swt displai send org swt widget event widget run defer event org eclips widget displai read dispatch org ui intern part engin part render engin eclips core realm run default workbench part render engin part render engin org ui creat run workbench java org ui intern org databind observ run realm org intern workbench workbench workbench java org ui ui creat workbench platform ui java org ui intern id applic start intern eclips app run app handl runtim intern adaptor app launcher java runtim intern eclips app launcher start eclips eclips runtim eclips starter run starter org eclips runtim eclips starter java reflect method accessor invok nativ sun reflect nativ reflect deleg method accessor invok deleg method accessor invok method java org eclips launcher invok main java org eclips equinox launcher main basic eclips equinox org eclips equinox launcher main org ui unhandl event java lang null eclips resourc imag imag jface imag descriptor imag imag descriptor eclips intern quickaccess editor imag editor element eclips ui intern quick access entri imag entri java org ui intern quickaccess entri entri intern content org event send event event tabl eclips displai event org swt widget event widget java org eclips swt widget eclips widget widget widget org swt widget send measur tabl java eclips swt tabl java widget size proc displai java org intern gtk cell render size org eclips swt intern gtk os render os org widget gtk render prefer widget eclips swt widget render render org render proc tabl widget displai render proc org swt gtk gtk main nativ intern gtk java org swt event proc displai intern main context nativ method org intern os main iter java org swt dispatch org intern part render run render org eclips core realm java org eclips intern part render part render org ui workbench creat run ui java org intern org core databind observ intern workbench workbench workbench org ui creat workbench platform ui ui intern id eclips equinox intern eclips handl run eclips handl java eclips runtim intern adaptor eclips applic eclips runtim intern adaptor launcher start app launcher core eclips starter eclips adaptor eclips starter eclips sun nativ accessor invok sun reflect nativ accessor nativ impl accessor invok accessor invok org equinox launcher main org equinox main basic run main equinox launcher main
Eclipse_Platform_UI,420238,222.0,0.0045045046,0.0045045046,space
Eclipse_Platform_UI,405216,1.0,1.0,1.0,job progress constant action properti action block dialog
Eclipse_Platform_UI,423495,1.0,1.0,1.0,tree select dialog unnecessarili tree select label
Eclipse_Platform_UI,236006,1.0,0.75,1.0,viewer deleg build id step style cell label support color defin cell label deleg style cell label standard
Eclipse_Platform_UI,424252,1.0,1.0,1.0,mgmt command main menu command main menu window solut submenu window menu editor horizont vertic editor
Eclipse_Platform_UI,423892,1.0,0.525641,1.0,quick access command split editor command split creat separ
Eclipse_Platform_UI,423725,1.0,1.0,1.0,eclips contribut record merg
Eclipse_Platform_UI,423040,2.0,0.5,0.5,activ part select aggreg null part
Eclipse_Platform_UI,413096,1.0,1.0,1.0,workbench applic run workbench window
Eclipse_Platform_UI,423768,1.0,1.0,1.0,stylesheet
Eclipse_Platform_UI,423718,1.0,1.0,1.0,workspac maxim editor instal git restart result end restor share area maxim
Eclipse_Platform_UI,423748,1.0,1.0,1.0,sash honor
Eclipse_Platform_UI,420972,1.0,0.5115524,1.0,retir demo split
Eclipse_Platform_UI,412479,1.0,0.35487473,1.0,tool bar manag orient calcul tool bar manag render orient
Eclipse_Platform_UI,416746,1.0,1.0,1.0,trim toolbar visibl
Eclipse_Platform_UI,417399,1.0,1.0,1.0,workspac workspac org ui workspac run org org close workbench eclips inject java pointer org intern di requestor execut requestor java core intern injector impl process injector impl intern annot org core intern di injector java org eclips core intern di dispos java org core object supplier inject updat object supplier java org comput ext java org trackabl comput ext invalid ext context dispos eclips org workbench part render engin clear context part org eclips ui intern part gui java eclips workbench swt part render org intern render run engin java core runtim safe runner safe runner java part render gui part engin java eclips swt refer render dispos java org eclips intern render safe remov engin eclips workbench swt part render access part org eclips intern workbench render run part render java eclips safe runner run eclips ui workbench part render gui part engin java org eclips ui workbench swt part render part org eclips intern workbench render access part engin org intern workbench swt render run engin java eclips core safe runner run safe runner java org eclips workbench swt part render engin remov part java org eclips intern workbench swt render engin safe part render engin java eclips ui access render engin java org ui intern swt run part render java org eclips core safe runner java intern remov part engin java eclips ui swt engin part render engin java org eclips intern workbench part part engin eclips workbench part engin part java safe run safe runner org engin remov ui intern engin remov render java ui swt render part render engin intern workbench part engin run render java eclips core runtim run safe org eclips ui intern workbench part engin part render engin java swt engin remov gui part org eclips intern swt part render part render engin org swt part render part engin java org eclips core safe safe eclips ui intern workbench part render java eclips ui swt part render remov part render engin java org eclips intern part render access render java eclips ui part render org core runtim safe runner runner org intern workbench remov gui render java org eclips ui intern workbench swt render engin gui part render engin java intern workbench part render engin org part render engin engin java org eclips core run safe runner intern part render engin gui part engin java org intern swt engin safe part render engin eclips workbench part access engin org eclips intern workbench part render run render eclips safe eclips intern part render engin remov render ui workbench window close workbench org ui intern busi window java org workbench window java eclips intern workbench window java eclips swt custom show busi java org ui workbench java workbench workbench eclips runtim run safe java eclips ui intern workbench workbench java org access workbench org eclips ui workbench run workbench eclips custom busi busi java org eclips ui workbench org ui workbench eclips intern workbench window window java org eclips window window ui intern workbench window window eclips custom busi window window java org eclips intern workbench window close workbench intern window workbench org workbench render swt shell render java eclips swt widget event listen event tabl send event event tabl java org eclips swt widget displai org eclips widget widget java org eclips org eclips swt widget send event widget java org widget decor java decor java org eclips swt control window java window proc java org eclips decor proc java org widget shell window proc java widget displai proc displai win os def window proc eclips swt intern os proc eclips shell call proc org control window control java org eclips widget canva canva java swt widget decor proc decor java swt widget shell proc java proc displai intern win os def proc nativ org swt intern os def window java eclips swt widget shell proc shell java org eclips swt widget control proc control org eclips swt window proc canva java eclips decor window proc org eclips swt shell window org eclips displai window proc eclips intern win os dispatch dispatch java org swt displai org eclips intern workbench swt render engin part core default java org workbench render engin run render java org ui intern creat run ui workbench java eclips core databind observ java eclips ui intern workbench workbench java org ui creat workbench ui eclips ui intern applic applic start id eclips app eclips app handl run app core adaptor eclips launcher applic launcher java eclips core runtim intern adaptor eclips launcher app launcher java eclips core adaptor run eclips java org eclips core eclips starter run eclips method impl method sun method method impl java reflect method impl method impl java java invok method eclips launcher invok framework java org main run main org eclips org launcher java java lang pointer org compat dispos site org ui intern compat dispos part java org ui intern org intern compat part compat part java sun reflect method nativ sun reflect impl invok nativ method sun reflect method impl invok method accessor java lang method invok org intern method method requestor java org eclips ui messag unrend ui model applic element id org ui categori activ contributor null render null render true top visibl true null phrase null uri bundleclass eclips workbench org ui intern compat compat object null label explor platform jdt ui icon full gif dirti true eclips core di java lang null org eclips di requestor execut method org eclips core injector impl java intern injector annot impl core intern di injector impl dispos injector impl java org eclips core requestor dispos java org eclips intern context object supplier listen updat supplier java eclips trackabl comput updat org eclips intern context ext handl invalid trackabl ext java eclips core intern eclips context dispos eclips context org ui workbench swt clear context java eclips ui intern swt part engin safe gui engin java ui intern workbench part render org ui intern swt part render engin run part org core runtim safe runner run runner ui intern swt render engin remov gui part org ui render element refer render dispos widget render org eclips ui swt part safe gui render java org ui render engin part engin org eclips intern render engin run render java org core runtim safe runner run safe java org swt part gui part engin java org intern engin safe gui engin java eclips ui intern part render engin part render java intern swt part render engin run render java org eclips core run safe runner org intern swt part part render engin org intern swt part render engin gui java eclips ui swt render access engin org ui workbench render run render engin java org safe runner safe runner workbench render gui part java eclips workbench swt part safe remov gui part swt render engin java swt part render engin part render eclips core runtim run safe eclips ui intern workbench swt render remov render engin java org eclips ui intern engin gui part render intern swt part engin part engin java eclips ui intern part render run part engin java core run intern swt part engin remov gui java org eclips ui workbench swt part engin java org ui workbench swt render access java org ui intern workbench engin run java org runtim safe run java eclips ui workbench swt render remov part workbench swt part render remov engin ui workbench part access render org eclips engin run engin eclips core safe runner runner org eclips intern engin render java ui swt engin part org eclips ui swt render part render java workbench swt part render part engin org runtim runner safe runner java org ui workbench swt part render render engin workbench render engin remov part render java eclips ui intern part engin render org eclips ui swt part part engin org core runtim safe runner safe ui intern swt render render org window hard close workbench java org ui workbench close workbench window org intern workbench window window java org eclips intern window run java swt show busi java workbench ui workbench workbench java org safe run runner org eclips workbench busi close workbench org ui intern java org eclips run java eclips swt custom intern org eclips workbench java org eclips ui intern workbench window java org eclips java org eclips workbench window workbench java eclips swt busi show org eclips intern workbench close workbench window org eclips ui intern close workbench window org ui intern window org ui workbench render swt wbw render close wbw java org eclips swt handl type java swt widget send tabl java swt widget send org widget event widget java org widget widget send widget org swt widget send event java org swt close decor org widget wm decor org eclips swt widget control window swt canva proc canva eclips widget decor window proc java eclips swt shell window proc widget window proc displai org swt win os window nativ intern def window proc os eclips swt widget shell call shell control control java canva java org eclips widget decor window proc java org eclips proc shell org eclips swt widget window intern window proc nativ method org swt win java org widget shell call proc shell java eclips swt control window swt proc canva java org eclips swt widget window decor eclips swt widget shell java eclips window proc org intern win os nativ method org eclips win dispatch messag os java org eclips read dispatch displai java eclips intern render engin run part render core observ realm run realm java org eclips ui intern swt engin run part org ui intern workbench workbench java org ui workbench workbench eclips core databind realm default java org eclips ui workbench creat workbench java org eclips ui creat run workbench platform java applic id java org eclips equinox app handl handl java eclips core runtim adaptor app launcher eclips org runtim eclips app launcher start eclips core eclips starter run eclips starter eclips starter run eclips reflect method accessor impl nativ method nativ nativ accessor sun impl invok deleg java java reflect method org equinox launcher invok main equinox basic java org equinox launcher main java org eclips equinox launcher main main caus java lang null pointer eclips ui intern compat compat view org ui intern compat compat dispos compat org eclips intern invalid compat part org ui intern part method impl invok nativ nativ method accessor impl impl reflect deleg accessor impl invok deleg method accessor java reflect method org core intern method requestor execut method
Eclipse_Platform_UI,369884,1.0,1.0,1.0,applic plugin prefix css resourc
Eclipse_Platform_UI,410049,1.0,1.0,1.0,placeholderfold render work juno id page layout editor creat placehold id nl page nl work juno layout creat id left page layout layout placehold nl creat id page nl
Eclipse_Platform_UI,422533,1.0,1.0,1.0,remov splash remov
Eclipse_Platform_UI,418859,39.0,0.025641026,0.025641026,contribut menu bar
Eclipse_Platform_UI,397872,654.0,0.001529052,0.001529052,workbench show
Eclipse_Platform_UI,420951,1.0,1.0,1.0,part shadow
Eclipse_Platform_UI,395161,1.0,1.0,1.0,bind context context context caus context context context context context context context context context context context properti applic
Eclipse_Platform_UI,409834,2.0,0.5,0.5,placehold id fals
Eclipse_Platform_UI,398381,1.0,1.0,1.0,menu manag class share element record map menu element
Eclipse_Platform_UI,421764,1.0,0.50584793,1.0,select color theme
Eclipse_Platform_UI,421725,1.0,1.0,1.0,viewer annoi structur viewer javadoc eclips code open code code
Eclipse_Platform_UI,418254,3.0,0.33333334,0.33333334,editor kei bind ctrl delet illeg updat kepler servic releas ctrl show list editor delet ctrl list list delet string open java editor small editor tab ctrl product packag jee plugin data id version vendor oracl constant win arch win nl argument product line argument os win ws win arch product epp jee product stack java lang assert assert legal assert ui model servic find element model servic ui impl find servic impl render swt stack render part stack render render swt basic part list basic stack label basic part label updat column label java viewer viewer column abstract updat tabl viewer java viewer structur safe runner run java ui face util runnabl structur viewer viewer java abstract tabl viewer java abstract tabl intern refresh abstract viewer intern abstract viewer structur run viewer select viewer viewer structur preserv select structur column refresh java viewer viewer ui render inform remov select tabl control ui intern render swt abstract kei abstract tabl inform control java handl listen event event event tabl widget widget send event widget java event widget swt widget send event widget swt widget widget swt send widget java widget widget wm kei widget java control keydown widget tabl tabl swt control window control widget tabl tabl swt widget displai displai swt intern win os dispatch method win java widget displai dispatch displai ui intern swt render engin part render engin java core observ realm default ui intern workbench swt part render engin render engin workbench workbench java core realm realm creat workbench ui workbench platform ui id id start handl core runtim adaptor app launcher run launcher start launcher core starter java core adaptor run sun nativ accessor impl nativ reflect nativ accessor deleg accessor impl sourc java lang reflect method launcher main framework equinox launcher basic equinox run main
Eclipse_Platform_UI,415522,1.0,1.0,1.0,clean scroll select project
Eclipse_Platform_UI,419710,9.0,0.11111111,0.11111111,wizard element
Eclipse_Platform_UI,418910,1.0,0.3333532,1.0,run css whitespac
Eclipse_Platform_UI,396296,1.0,1.0,1.0,tip isn dispos underli control
Eclipse_Platform_UI,420835,1.0,1.0,1.0,dn replac green color
Eclipse_Platform_UI,411017,1.0,0.30882177,1.0,retir eclips present
Eclipse_Platform_UI,417929,1.0,1.0,1.0,perspect box left open minim stack close open stack
Eclipse_Platform_UI,411750,2.0,0.5,0.5,focu
Eclipse_Platform_UI,420126,1.0,1.0,1.0,part window run user event part light squar window matter anymor area screen perspect don widget lose respond repaint event make pretti
Eclipse_Platform_UI,418275,1.0,1.0,1.0,id view sourc menu explicitli target list
Eclipse_Platform_UI,371027,1.0,0.54545456,1.0,model platform fragment eclips model extens
Eclipse_Platform_UI,420035,1.0,0.8333334,1.0,css color constant gradient
Eclipse_Platform_UI,419435,1.0,1.0,1.0,invalid rgb rgb valid swt error swt swt swt error swt graphic rgb rgb jface string convert rgb string convert color color intern color java intern helper java intern intern run java swt widget synchron sync synchron intern synchron exec swt widget sync intern intern applic color intern init intern intern intern databind intern workbench java intern applic java
Eclipse_Platform_UI,302536,1.0,1.0,1.0,marker broken lock support registri
Eclipse_Platform_UI,418683,506.0,0.0019762847,0.0019762847,creat
Eclipse_Platform_UI,418715,1.0,0.525,1.0,folder linux parent folder
Eclipse_Platform_UI,412285,1.0,1.0,1.0,show menu view window applic view
Eclipse_Platform_UI,416099,22.0,0.045454547,0.045454547,save handler
Eclipse_Platform_UI,372956,5.0,0.2,0.2,composit imag descriptor
Eclipse_Platform_UI,398684,1.0,0.3345019,1.0,window creat ibm manag overrid set workbench window configur workbench window set size creat move eclips adopt
Eclipse_Platform_UI,417947,1.0,1.0,1.0,assist pop activ user press end expect option assist pop select expect home select option assist pop work eclips eclips broken
Eclipse_Platform_UI,168226,1.0,1.0,1.0,insensit content viewer code code
Eclipse_Platform_UI,414297,66.0,0.015151516,0.015151516,set
Eclipse_Platform_UI,345372,1.0,1.0,1.0,kei delet kei imposs delet keybind special kei tab popup menu delet
Eclipse_Platform_UI,411577,1.0,1.0,1.0,custom perspect hide menu
Eclipse_Platform_UI,413590,1.0,1.0,1.0,close editor open area perspect open sourc perspect
Eclipse_Platform_UI,331690,1.0,1.0,1.0,max broker add
Eclipse_Platform_UI,384354,4.0,0.25,0.25,action eclips action toolbar action eclips action menu action menu action
Eclipse_Platform_UI,389129,6.0,0.16666667,0.16666667,progress view background
Eclipse_Platform_UI,417201,1.0,0.625,1.0,sash corrupt drag area
Eclipse_Platform_UI,408763,1.0,0.41774893,1.0,wizard pattern filter wizard wizard filter wizard
Eclipse_Platform_UI,416773,56.0,0.017857144,0.017857144,mode
Eclipse_Platform_UI,416995,17.0,0.05882353,0.05882353,perspect constant applic
Eclipse_Platform_UI,416902,14.0,0.071428575,0.071428575,histori badli toolbar wrongli
Eclipse_Platform_UI,377981,1.0,0.21042116,1.0,creat configur add perspect perspect eclips applic eclips ui
Eclipse_Platform_UI,413427,2.0,0.23620485,0.5,face snippet
Eclipse_Platform_UI,413399,1.0,0.5,1.0,occur view cursor lost drag default green
Eclipse_Platform_UI,403760,1.0,1.0,1.0,close editor perspect layout
Eclipse_Platform_UI,395084,1.0,1.0,1.0,handler call workbench window window platform ui workbench activ workbench window platform ui workbench perspect id window target platform call
