Project,BugId,Effectiveness,AP,RR,Keyword
SWT,425999,1.0,1.0,1.0,gtk gtk error gdk window combin gdk fail pointer gtk widget window realiz
SWT,426009,1.0,1.0,1.0,style text word bidi segment listen insert line break
SWT,339754,1.0,1.0,1.0,date mark date
SWT,425907,1.0,1.0,1.0,style text scroll set word
SWT,423012,1.0,1.0,1.0,mous scroll version scroll press move window move window
SWT,425516,1.0,0.17166406,1.0,test test
SWT,421255,5.0,0.2,0.2,access text
SWT,424840,2.0,0.5,0.5,browser eclips drop testresult org eclips gtk
SWT,423951,291.0,0.0034364262,0.0034364262,close
SWT,423721,1.0,0.33333334,1.0,enabl swt tool problem
SWT,416799,4.0,0.25,0.25,draw imag scale gtk
SWT,358407,11.0,0.09090909,0.09090909,clarifi drop
SWT,422090,1.0,0.5555556,1.0,org eclips hook event send event dc select
SWT,421045,2.0,0.5,0.5,style line index
SWT,422042,1.0,1.0,1.0,junit gen
SWT,405453,4.0,0.14460784,0.25,acceler work item disabl reenabl
SWT,377113,1.0,1.0,1.0,folder theme outer
SWT,420182,1.0,1.0,1.0,gtk gtk
SWT,404543,1.0,1.0,1.0,svc version set eclips version eclips browser version
SWT,420052,1.0,1.0,1.0,gtk widget style dynam
SWT,414371,14.0,0.071428575,0.071428575,doubl focu line click id editor id id
SWT,410904,25.0,0.04,0.04,file
SWT,336054,1.0,1.0,1.0,text win win control combo dropdown press enter eaten text clear expect text stai
SWT,414134,2.0,0.14924224,0.5,cocoa set cursor cursor caus drag show icon
SWT,412584,1.0,1.0,1.0,text field edit im context function return handl widget
SWT,409029,1.0,1.0,1.0,folder context menu wrong
SWT,411452,2.0,0.5,0.5,search dialogu swt gtk
SWT,414455,8.0,0.125,0.125,org jface tabl show item
SWT,414957,1.0,1.0,1.0,bar thumb mark occurr scrollbar match
SWT,408505,4.0,0.25,0.25,gtk tab visibl
SWT,413455,1.0,1.0,1.0,gtk clean remov unus gtk window gtk scroll window gtk window gtk scroll window
SWT,413457,1.0,1.0,1.0,gtk file unus version guard
SWT,413338,2.0,0.5,0.5,gtk clean button guard button widget version
SWT,413337,1.0,1.0,1.0,color version guard
SWT,413335,2.0,0.5,0.5,gtk control widget guard code
SWT,413334,1.0,1.0,1.0,directori dialog unus version guard
SWT,413333,2.0,0.5,0.5,gtk slider widget unus version guard
SWT,413331,1.0,1.0,1.0,gtk unus version guard
SWT,413328,1.0,1.0,1.0,expand bar widget code version guard
SWT,413325,1.0,1.0,1.0,font dialog widget version guard
SWT,413316,1.0,1.0,1.0,gtk code guard shell widget
SWT,412880,1.0,0.5120482,1.0,post patch implement gtk
SWT,413195,1.0,1.0,1.0,gtk label widget guard
SWT,413197,1.0,1.0,1.0,gtk menu widget version guard menu widget guard
SWT,413199,1.0,1.0,1.0,gtk messag guard
SWT,413200,1.0,1.0,1.0,gtk clean widget code scrollabl
SWT,412885,1.0,1.0,1.0,gtk drop code combo
SWT,412706,22.0,0.021535903,0.045454547,widget dispos section
SWT,410683,15.0,0.06666667,0.06666667,type text control input
SWT,409603,1.0,1.0,1.0,swt applic menu os os becaus applic menu swt applic set menu
SWT,409239,1.0,1.0,1.0,typo win menu org widget menu background delet object brush brush releas widget background null brush delet object brush check brush
SWT,411006,1.0,1.0,1.0,typo menu menu typo gtk eclips widget origin origin alloc
SWT,394803,2.0,0.5,0.5,tab tab part
SWT,407270,1.0,0.37542737,1.0,check check remov access remov listen check access listen empti access control pointer
SWT,408957,4.0,0.13499999,0.25,api doc text char set text
SWT,408298,1.0,1.0,1.0,window char text char widget length window text length handl length char tchar buffer tchar code length window text handl buffer length segment buffer text buffer char char char length buffer char char length buffer char char
SWT,408608,1.0,1.0,1.0,web kit gtk error
SWT,358376,1.0,1.0,1.0,applic window menu click icon swt found add reopen event
SWT,408146,1.0,1.0,1.0,web handl event mous
