Project,BugId,Effectiveness,AP,RR,Keyword
Tomcat,56012,1.0,0.64285713,1.0,import direct
Tomcat,55943,3.0,0.33333334,0.33333334,system classload webapp
Tomcat,56025,4.0,0.25,0.25,method server endpoint
Tomcat,56010,1.0,0.50101215,1.0,factori context writer buffer throw illeg
Tomcat,55996,5.0,0.2,0.2,async timeout
Tomcat,55995,19.0,0.05263158,0.05263158,apach resourc context context return path context url form url path malform path start throw path tld cach long tld resourc path tld path result long result url url context resourc tld resourc jdk apach rc lib jar apach rc lib websocket jar home apach lib jar apach lib catalina jar home home jar jar rc lib jar apach jni jar rc lib jar home websocket jar apach ecj jar fr home apach rc jar apach jar apach lib el jar catalina jar home dbcp jar home jdbc apach jar rc util jar home apach catalina jar rc lib el jar home spdy jar rc bin rc bin bootstrap jar home apach bin jar apach webapp inf jstl jar inf lib jar home head ant jar org home head uriroot head share compil share dialog ax head share qb gecod dlg home head compil share inf home inf share home compil share home compil compil selectvaluedlg compil share inf view variableeditordlg head share inf filterprompteditor head compil respons home compil inf fontdlg home head compil home compil compil compil folder init inf bid folderblock folder boot compil share bid empti head bid properti home head share inf bid spath href head inf bid bid xmlrespons compil share bid statu home inf bid home head compil inf bid home head favorit head compil bid tree share bid favorit head compil share compil inf bid view bid home compil share bid view bid home compil inf bid view bid sa home head compil share bid view bid frame home head compil inf bid view view home head compil share bid view toolbar inf extern head compil bid bi head inf view bid init bindow head compil share bid tree bi head compil bid tree compil share bid recent tree head bid recent bid list home head compil compil share inf group list home compil bid bid search list compil inf search bid list compil inf bid tree bid properti home compil share inf bid bid flat list head bid tree bid plain home compil share bid tree list lang context resourc org apach compil tld tld cach org apach compil tld cach cach org init context org execut org apach
Tomcat,55893,1.0,1.0,1.0,split valv extract format logic abstract log valv
Tomcat,55978,1.0,0.40279278,1.0,initi call write http upgrad
Tomcat,55976,2.0,0.5,0.5,respons nio
Tomcat,55974,1.0,1.0,1.0,pars warn
Tomcat,55970,17.0,0.05882353,0.05882353,context lib jar
Tomcat,55960,1.0,1.0,1.0,onon basic
Tomcat,55958,1.0,0.28224695,1.0,tomcat dir end war
Tomcat,55937,30.0,0.039922483,0.033333335,root
Tomcat,55939,25.0,0.04,0.04,block write
Tomcat,55905,1.0,1.0,1.0,tld file
Tomcat,55884,1.0,1.0,1.0,ps longer compil
Tomcat,55820,1.0,1.0,1.0,intern proxi
Tomcat,55811,1.0,0.5769231,1.0,fragment file
Tomcat,55801,1.0,1.0,1.0,add ssl websocket
Tomcat,55851,1.0,1.0,1.0,spnego authent incompat wrap privileg order authent
Tomcat,55842,1.0,0.509009,1.0,size respons call respons size respons chunk
Tomcat,55837,1.0,0.27041915,1.0,path path test file test exist webroot path int oschina test
Tomcat,55804,1.0,1.0,1.0,check request princip return return caus add addit credent put session
Tomcat,55798,19.0,0.05263158,0.05263158,manag descript
Tomcat,55778,1.0,1.0,1.0,jndi authent gssapi ldap
Tomcat,55776,1.0,1.0,1.0,path file path resourc ibati type
Tomcat,55772,1.0,0.5279165,1.0,flush async request state
Tomcat,55760,1.0,1.0,1.0,spnego authent jdk initi accept authent
Tomcat,55749,1.0,1.0,1.0,disabl ssl engin lead mislead ssl delcar listen org apach apr lifecycl listen ssl put apr server xml protocol org coyot protocol connect timeout thread utf size http true ssl enabl true ssl ssl cipher suit high adh ssl certif ssl file ssl kei ssl ssl password ssl password start confus messag pm org http apr error endpoint socket im zugriff apach util apr endpoint net apr endpoint org protocol protocol java start connector org apach core standard servic standard servic start standard java catalina catalina catalina java sun reflect nativ accessor nativ method nativ java impl invok method accessor lang reflect invok org catalina bootstrap apach catalina bootstrap main nov org apach servic start fail lang socket bind fail adress im org catalina start connector java apach catalina standard servic standard java org standard java start java reflect accessor invok method nativ method impl java sun reflect accessor invok method java apach start bootstrap main bootstrap java cours availbl ssl check stratup illeg state
Tomcat,55735,1.0,0.3,1.0,element tagx attribut el express
Tomcat,55715,1.0,0.25781628,1.0,remot endpoint contradict java doc
