bugId,effectiveness,text,keywords
28919,1,waever weav nativ method don find bug pleas add bug make bug prioriti pleas includ test program reproduc bad abstract method code privat nativ int nativ messag pump initi public class plc comm pvi pvi link event handler impl bad abstract method code privat nativ int nativ messag pump initi public class plc comm pvi pvi link event handler impl java lang runtim bad abstract method code privat nativ int nativ messag pump initi public class plc comm pvi pvi link event handler impl org aspectj weaver bcel lazi method gen init unknown sourc org aspectj weaver bcel lazi class gen init unknown sourc org aspectj weaver bcel bcel object type lazi class gen unknown sourc org aspectj weaver bcel bcel weaver weav unknown sourc org aspectj weaver bcel bcel weaver weav unknown sourc org aspectj ajdt intern core builder aj build manag weav gener class file unknown sourc org aspectj ajdt intern core builder aj build manag batch build unknown sourc org aspectj ajdt ajc ajdt command run command unknown sourc org aspectj tool ajc main run unknown sourc org aspectj tool ajc main run main unknown sourc org aspectj tool ajc main main unknown sourc,pleas bug prioriti pleas test bad abstract code pump plc pvi link bad abstract privat int pump initi class plc comm pvi pvi link event handler lang runtim bad abstract method code int nativ pump plc link event method gen init bcel gen sourc object type lazi gen aspectj unknown aspectj ajdt aj manag gener sourc intern core aj build batch build run ajc unknown sourc
28974,1,compil error introduc final field aspect fail compil produc compil error ajc ibm amc java ibm amc ejb java eclips runtim workspac ajsampl mock ej bs ibm amc demo bean ejb java assign final field ibm amc demo bean ajc inter field ibm amc verbos sourc inform error packag ibm amc import ibm amc ejb session bean author colyer gener comment edit templat variabl typecom window prefer java templat enabl disabl creation type comment window prefer java code gener public aspect demo bean ejb declar parent demo bean implement session bean line culprit static final boolean demo bean verbos true privat transient string demo bean ctx public void demo bean ejb activ verbos system println ejb activ call make inter type declar final solv problem,field aspect ajsampl mock assign final field inter aspect declar implement static true transient ctx verbos inter declar solv
29186,2,ajc emacssym choke pointcut includ intertyp method,pointcut intertyp method
29665,1,inconsist stack height aspect run program crash messag inconsist stack height reduc origin program minimum stack height guess relat didn reproduc mail mport java lang reflect method public class stack error public static void main string arg void assert true string msg boolean public void test equal null stack error stack error stack error stack error assert true equal equal work boolean equal work public boolean equal object return true aspect equal contract pointcut equal call object object target object target call public boolean equal object arg equal contract boolean object object equal call boolean result proce class cl class string cl boolean hash code fals method cl declar method hash code null string public int hash code hash code equal string catch method nsme return result program crash comment line work comment note line comment work work,program stack stack reflect method static main void string boolean public void test null stack public call target target call public boolean object contract boolean object object equal call boolean proce string cl method declar method code code catch method program
29769,1,ajd support aspect compil option org aspectj ajd build option adapt interfac support aspect compil option ad interfac renam option deprec correct process ajd pass option compil enhanc id project aspect support,option deprec correct process ajd pass option compil
29934,3,runtim null pointer appli advic advic program run produc null pointer java lang null pointer ajc proce cflow cycl java ajc bodi cflow cycl java target run cflow cycl java cflow cycl run bodi cflow cycl java cflow cycl main bodi cflow cycl java cflow cycl main cflow cycl java cflow cycl java ajc test fail xml import org aspectj test tester testcas cflow cycl advic aspect public class cflow cycl public static void main string arg tester expect event target tester expect event target target run tester check event dup class target public void run aspect pointcut target run flow cflow target execut preiniti initi cflow target execut object target run flow tester event target return proce class aspect pointcut target run target execut object target run tester event target return proce,advic advic lang proce cycl target run cflow cflow cflow cflow cflow cflow cycl test xml aspectj test testcas cycl advic string arg tester expect target expect run tester event dup target run target run cflow execut preiniti initi execut object target flow target proce target target object run return proce
29959,1,super call intertyp method declar bodi caus verifi error aspect compil beta program aspect foo void foo void foo super foo class class extend class main public static void main string arg caus error runtim thread main java lang verifi error class method ajc super dispatch foo signatur illeg nonvirtu function call main main foo java note foo call error load time express caus class load error foo method declar class directli kind showstopp doug,call intertyp method verifi error compil aspect string error java lang ajc dispatch signatur illeg nonvirtu function call java time caus method declar
30439,1,spuriou circular depend error aspect compil beta program aspect foo pointcut execut void cflow execut void pointcut execut void cflow execut void class void void void result error circular depend method execut void circular depend method execut void circular depend method execut void circular depend method execut void error comment piec advic error assum valid print error line number doug,spuriou circular depend aspect execut execut void void class void error circular depend method execut depend method execut void circular depend method void circular depend execut void error comment
30663,1,lame error messag negat doesn bind aspect compil beta program public aspect foo pointcut int call void produc error messag negat doesn bind formal unbound pointcut error bind state base pointcut print file line number doug,compil public foo pointcut int call produc messag bind formal pointcut bind pointcut
31423,10,pointcut adviceexecut work pointcut adviceexecut pick advic execut join point beta program show problem public class test public static void main string arg aspect aspect execut test system println reach join point aspect aspect adviceexecut aspect system println reach join point aop bug adviceexecut ajc version aspect compil beta aop bug adviceexecut ajc test java aop bug adviceexecut java test reach execut void test main string,static
