bugId,effectiveness,text,keywords
100014,6,tool refer doc rc refer edit tool meta data file org eclips platform doc isv port faq html org eclips platform doc isv port incompat html org eclips platform doc isv port recommend html org eclips platform doc isv port eclips port guid html org eclips platform doc isv port eclips port guid html org eclips platform doc isv refer misc custom html org eclips platform doc isv refer misc prefer html,data eclips eclips platform eclips isv eclips eclips eclips platform eclips eclips eclips
100257,7,oper add version control recurs click team add version control recurs menu item add child resourc version control repositori command line svn cv function tortois cv tortois svn featur multipl file ad multipl packag avoid forget add file,add version add add add
100319,1,inconsist coverag statist profil view profil profil set filter sun secur action load librari action includ obtain result java lang sun secur action packag execut statist memori statist view code coverag view default packag code coverag driver hyad heap jni car test org eclips hyad case src pkg ss check aix hpux solari step ensur rac run remot platform cd raserv home bin ra start sh set profil type filter ensur perspect profil log workbench menu run profil extern java applic host tab enter remot host detail tab enter class heap jni car test path class file profil tab add profil set profil type dialog tick profil type filter set dialog add filter set add filter properti sun secur action load librari action includ ensur filter properti top set finish appli profil symptom packag coverag stat adn view press enter consol heap jni car test termin click monitor profil monitor view open coverag statist symptom default packag packag coverag view click monitor profil monitor view open execut statist notic packag sun secur action execut statist view click monitor profil monitor view open memori statist notic packag sun secur action memori statist view,set filter load librari result lang case ss ra start sh class set set filter set load filter
100964,9,support eclips platform releas birt design work releas eclips platform releas develop birt birt depend eclips platform featur birt extens test claim support upcom eclips platform releas eclips platform releas made end june birt test support releas applic develop eclips util birt applic develop eclips birt continu support version import birt commerci product base eclips technolog,design eclips claim support upcom eclips eclips june eclips
100991,1,debug support java script report script integr debug java script code report design birt report design environ,java report script integr debug java report
100999,1,ctrl doesn work express builder descript undo redo doesn work express builder step reproduc edit data element express builder press ctrl expect result undo redo work result respons,express builder ctrl
101039,1,seri color default creat pie chart color grai default creat bar chart multipl seri addit seri grai default expect pie chart color default bar chart addit seri automat assign color default,creat pie chart default
101187,1,local kei blank ad descript kei blank extern text displai chart step reproduc set extern text chart titl properti file kei blank valid expect result extern chart titl result displai,local kei ad text file result titl result
101361,1,bug org eclips birt report engin extens intern extens manag arrai index bug extens manag class configur element arrai address variabl address case caus arrai index bound line load gener extens defn method line load present extens defn method line load queri extens defn method,eclips extens extens manag
101372,1,limit data set schema jdbc connect defin data set oracl jdbc data sourc error popup item view list item data sourc pleas filter search specif item data set item list show multipl schema tabl problem avoid limit data set schema set schema,data set item list schema tabl
101409,1,quotat mark miss select string data set filter descript quotat mark miss select string data set filter step reproduc add data sourc data set report design file edit data set filter select string column edit select expect result quotat mark ad select result quotat mark ad select charact type,data data set report data set select select expect result quotat ad select
101655,1,abil write custom event handler chart compon ad benefit abil add custom event handler chart compon legend item titl bar ax data point rich user experi case scenario line chart gener dataset dataset point visual chart clutter data abil filter dataset runtim simpli visual solut event handler legend item event handler legend item data set control visibl data set plot area event trigger mous event legend item scenario potenti exploit chart framework write custom event handler rich user experi,write custom event chart compon
