bugId,effectiveness,text,keywords
2025,2,multipag editor st page sourc gdkrll editor page sourc filenam note,editor page gdkrll page
2035,1,wizard previou locat project content area rememb gdqux creat project set content area default good choic rememb creat project choos default area initail set file prompter user creat project default area benefit greatli note,creat project default area
2046,1,org eclips ui plugin abstract ui plugin load dialog set ur lget file gdtwuz org eclips ui plugin abstract ui plugin load dialog set ur lget file fail instal directori local initi plugin prefer stream note,eclips ui plugin ui plugin load dialog set ur lget gdtwuz
2052,1,build error info access gduxnj build error save file autobuild ui put dialog error build thrown back inform recent build fail complet builder fail continu run builder result gener form statu multistatu error build istatu builder error istatu builder error prime candid detail button note,build error ui put dialog error build
2074,1,properti sheet expand categori default ge vq product version eclips properti sheet expand categori displai categori collaps expand expans temporari dissappear back make categori featur frustat point user turn show categori fix expand categori default,categori featur user categori
2118,1,move project dialog confus creat project navig hit move result dialog doesn dialog titl project locat text box append error messag bottom cut read hoverhelp long messag assum local map overlap eclips target john test eclips target bit confus user local map directori overlap note,dialog project directori
2120,1,mru file list persist session ge start workbench open file notic file file menu mru list shutdown workbench restart notic file file menu mru list file persist session note ds pm note persist element peek implement underli resourc editor input resourc,open file file file mru list shutdown workbench
2127,1,task cell editor close deactiv ge bug strang behavior add task task list click descript edit cell editor activ click navig notic activ navig cell editor task list open click back titl task move scroll bar notic cell editor disapp momentarili scroll click column head order notic editor remain problem occur prioriti editor activ expect behavior click task list cell editor deactiv part deactiv note,click edit
2138,6,resourc dialog small ge resourc dialog navig popup small open note,resourc dialog resourc dialog navig
2145,1,fast view slow ge ihm fast view open quickli scroll effect close effect neat time quickli pain fast view expand workbech tasklist sec note rg pm effect bad linux leav seri edg disappear time,fast view ge
2154,1,drag drop file check read ge mav drag drop read file prompt confirm move move read file popup menu error ge lt itpui win intern error move read file creat project navig add file root directori creat directori make file read click file click properti info click read click drag drop file directori file move prompt user workbench verifi user move read file note jel pm relat pr ge mi itpui read properti editor ge lt itpui win intern error move read file ge mtr itpjui win packag view read properti,drag read file move
2165,3,folder select dialog small ge rep open import wizard select zip import press lower brows button brows folder dialog small note,select ge select dialog
2172,1,dialog copi error multi error dialog error dialog detail user select detail singl select user copi past error note,dialog error multi dialog error dialog detail select detail error
2181,1,brows directori dialog empti gea dn open project wizard select project press button enter project uncheck default directori press brows beep directori dialog empti dialog show directori close map enter note rg window open comput sa report remind directori dialog select directori accept part initi directori window nice directori dialog pars os string path correct separ platform ejp pm test machin show dev eclips work directori ejp pm method wizard project creation page handl locat brows button press fix path os string,wizard project page locat brows button press
2188,1,ol editor paint toolbar editor activ geae creat doc file creat bmp file switch bettween editor work file navig switch select file content file paint editor toolbar statu bar note ejp understand bit relat model editor activ action show toolbar case local tool bar nice visual efect,ol editor paint editor file creat file switch file content editor toolbar statu ejp editor activ show toolbar local bar efect
2221,2,wizard disabl finish valid select geapg open wizard dialog select basic file notic finish button enabl click basic notic finish button disabl thought file select list note ne pm button finish button,wizard select wizard dialog click select list finish
2232,1,usabl warn wizard gear pm gda add abstract document attribut context displai error info banner area icon draw attent unnot note pm wizard support show error api show warn descript,gda add context error info banner area draw attent unnot
2241,1,ui copi move folder file issu geasn pr mark due intern error scenario scenario creat project folder select choos copi dialog titl copi folder label text select destin select dialog hit error dialog copi problem problem occur copi select resourc hit detail destin resourc hierarchi destin resourc hieararchi ideal wouldn pick folder descend easi viewer scenario creat project file system creat folder select project navig choos copi select hit error dialog copi problem problem occur copi select resourc hit detail resourc exist local file system resourc scenario refresh show select project navig choos copi select hit prompt resourc exist exist overwrit hit error dialog copi problem intern error invalid thread access stack dump log hit error dialog copi problem problem occur copi select resourc hit detail resourc exist local file system resourc note ne pm problem copi file problem move ejp pm fix problem copi resourc action org eclips ui action ejp geasn move pr fix lot low prioriti fix,pr mark scenario scenario creat project folder select choos copi dialog copi folder
2246,1,dn navig line suggest order geauig drag item navig show horizont line item drop shown suggest item order navig show element sort order order matter note ne pm note packag view window explor,drag item navig horizont line item
2252,1,filter inconsist navig task view geaw navig select filter file shown task view filter dialog choos item shown note ne pm recommend navig filter dialog clearer titl navig filter label hide resourc match,navig filter
2272,1,copi move disabl close gehvnk copi move project close command disabl step creat project navig click project click close project click project click copi project enter click workbench action menu item disabl item note,copi disabl close copi move command disabl project project project project copi project
2296,1,add bookmark action adapt retriev resourc gen action add bookmark action adapt retriev file select reus navig packag view note,action add bookmark action adapt retriev file reus
2301,1,import export save prompt export genmdk issu enter export wizard user prompt save work good chanc user plan export file edit easili forget save export user rare check content jar zip export work desir illustr open java file project make file don save file export file system select java file edit export desktop open java file note file note,export save export genmdk
2309,1,move view reveal order close gen resourc perspect show bookmark view dock navig repositori view close bookmark view navig view reveal show bookmark view drag outlin view repositori view reveal surpris view reveal close drag note,move view gen resourc perspect dock view view drag view view drag
2312,1,perspect show view close gentgj close view perspect remain open bare clear user simpli close perspect option surpris show view navig perspect close bad perspect view click view close button natur thing note ds pop dialog user close perspect good disabl button dialog show ds pm basic implement san dialog workbench page ds,bad perspect view view close button pop close perspect disabl button show
2318,1,ui type hierarchi view resiz genyr jkca pm jre sdk duplic start eclips open java perspect java project java class class outlin click class open hierarchi doubl click view titl bar make fill desktop click class view shrink back origin size locat note select class ad hierarchi view switch order problem critic ma problem reveal element open editor problem packag view navig move desktop,view resiz eclips open perspect
2324,1,ui error dialog page context comput comment ger greg dialog page context comput determin context control wizard page comment impli wizard page isn dialog note rg determin context control dialog page,ui dialog page context comput
2338,1,navig goto resourc dialog clear folder list zy goto resourc dialog popup menu nav view resourc type resourc exist match resourc list empti folder list note,resourc dialog popup resourc type resourc match resourc list folder list
2345,1,editor mgmt open type editor effect file open gewmsq reproduc step gewmoz itpui win script resourc editor open xml file default basic project file test xml editor script resourc editor total xml file content select test xml navig choos open default text editor reactiv script resourc editor search exist open file editor type open editor file becaus editor type note,editor type editor file gewmsq gewmoz script resourc editor open file basic file editor script editor file select xml open text editor open file editor open editor file editor
2355,1,abstract ui plugin initi imag registri final getc spec abstract ui plugin initi imag registri imag registri overridden mark final cruel note,ui plugin initi imag registri getc
2367,4,add bookmark accept empti string geul ak pm put empti string bookmark action emoti string note gda pm defer clear jui issu move ui kh handl,add empti geul action ui kh handl
2369,1,workbench save workspac exit geumki perform full save workspac exit restart menu option perform full save action feel zip folder manual ideal save note,save menu option save action
2377,2,view strang multipl select geuvsb view select rang text visibl paragraph unusu note,select rang text
2384,1,field editor parent creat gev fc org eclips jface prefer field editor prefer page field editor parent creat field editor parent creat parent time note,field editor creat gev
2389,1,mpe workaround multi page editor part page int gev workaround gcn swt win tab folder child visibl fals notif multi page editor part page int check workaround gau itpui editor activ restor previou session remov note,mpe multi page editor part page
2403,1,build order initi increment build geyzpb prefer build order order autobuild run enabl full build note,build order initi build
2418,1,ui statu line messga remain fastview close gf rpi tm sdk catch fastview synchron view java perspect click fastview icon left workspac window border fastview close observ statu line messag fromt synchron view conflict note sa pm problem build reproduc view fast view hidden view editor focu fix bigger context proper focu order handl focu peviou part focu,ui messga fastview close gf tm fastview perspect click workspac window line messag fromt synchron view sa fast view view editor focu context order peviou
2428,2,icon align gf sqg round blue arrow page align text point note,align blue page align point
2473,1,ui file folder wizard don filter charact gf yl file folder wizard enter back slash problem file wizard enter abc filenam click finish creat file error enter abc xyz filenam click finish creat file error file system creat file xyz folder abc displai abc xyz navig refresh local updat navig enter abc abc xyz linux creat file displai error legal linux filter resourc share win user problem folder wizard enter abc folder creat folder abc system displai abc navig refresh local updat navig enter abc xyz creat subfold xyz folder abc system displai abc xyz enter abc abc xyz linux creat folder error legal linux filter folder share win user note jel pm project wizard java resourc wizard filter ne pm readm doc file folder wizard accept creat file folder backslash charact window make workspac inconist file system refresh local project repair inconsist,problem file wizard enter filenam click finish creat file error enter xyz filenam click finish creat file error file creat file xyz folder xyz navig refresh local navig
2496,2,fail open system editor default back gfbf open file system editor error unabl open extern editor file occur default editor reset editor remain system editor doubl click file error note,editor open editor error editor reset editor
2497,2,navig navig save input gfbh creat project folder file select folder exit start navig start initi input select folder note,navig initi input
2498,1,text cell editor select enabl expens gfbiti text cell editor select enabl text text length expens common select enabl widget empti compar notepad window explor return true note,text cell select enabl
2512,1,save ol editor doesn choos folder gfdcre file test doc open word wordpad choos file save renam prompter enter choos folder save intern editor choos folder note,ol editor gfdcre file test doc open word wordpad save renam prompter enter save choos note
2520,1,minor activ editor updat properli gfi select open editor navig packag view visibl activ desir behaviour problem editor action close close activ editor visibl bit confus major step creat file abc editor visibl activ creat file xyz editor visibl activ click abc navig notic abc editor visibl activ file close ctrl xyz close expect abc close ii drag drop oper editor split editor editor shown activ close oper affect step creat file abc editor visibl activ creat file xyz editor visibl activ grab titl bar abc drag edg splite editor workspac action select move file close xyz close abc close note jel pm close editor action run editor part part activ editor editor part part activ page editor present visibl editor workbench close editor view editor click,activ editor updat gfi
2523,1,action enabl project close gfjb close project notic project popup menu copi move enabl fail error messag project open duh appli open perspect note,menu open duh
2529,1,navig open close project gfkw creat project select close select notic open project menu item close project enabl note,project close project enabl
2535,1,ui import zip progress bar inaccur gfl import zip progress bar reach import file note,ui import progress
2536,1,window lifecycl gfl tw eclips corner obviou function miss workbench workbench window open exist close workbench add workbench listen workbench listen workbench listen method window open workbench window window close workbench window ve found workaround ugli great estim real listen support ad workbench ad shell listen workbench window shell shell deactiv check activ work bench window origin window ve ve discov check async exec becaus time shell deactiv call origin workbench window activ note,window exist close
2558,1,ui unzoom caus view move tab folder gfogf open resourc perspect reset open properti view outlin click outlin tab doubl click outlin titl area zoom doubl click outlin titl area unzoom make mous pointer bottom outlin titl area end doubl click move mous ve time properli doubl click unzoom outlin unzoom nav repo tab folder start notic mous move doubl click bad nerv note,move gfogf doubl doubl mous move mous click notic mous move doubl
2587,1,dcr zoom editor zoom workbook gkbck bunch editor open doubl click tab editor editor maxim editor singl tab tab folder editor editor workbook maxim brows code class maxim mode doubl click maxim file doubl click minim file doubl click maxim file lot click code lot work delet tab activ tab maxim file rememb order tab delet minim editor recreat tab order implement dcr delet code function faster flashi save real estat implement space show tab space show tab note cm pm concur heartedli,show tab show tab
2642,1,delet list viewer select ghhbk behavior structur viewer select doesn introduc spec note,list viewer select select note
2652,1,ui ec folder placehold visibl ghqon,ui folder ghqon
2675,1,add bookmark action adapt select ghwe add bookmark action adapt select file reli instanceof add bookmark action creat marker string marker type updat select structur select select note similar fix open resourc action pr gf xj note,add bookmark action adapt select instanceof
