bugId,effectiveness,text,keywords
10526,1,authent cach princip user authent princip object suppos cach durat user session import jdbc realm jndi realm reduc load extern authent servic authent basic authent ssl authent digest authent call authent base regist cach princip regist session object exist cach occur applic creat session object problem set secur constraint tomcat doc brows tomcat document extern authent servic hit request problem occur form base login becaus form authent cach princip creat session fix authent base regist creat session call session request true session request fals altern concret authent class make session exist call regist basic authent java mar basic authent java jul string password pars password author princip context realm authent usernam password princip null session session session request true regist request respons princip constant basic method usernam password return true similar patch requir ssl authent digest authent cours,authent cach princip authent princip object cach durat session
10972,1,realm class server xml produc null pointer class attribut includ realm tag server xml server di cryptic null pointer nice produc error messag miss class attribut realm tag,server server xml server error
11117,1,coyot connector correctli deal larg put chunk transfer encod ve built small test servlet includ show behaviour upload data tomcat configur http coyot connector chunk transfer encod put result read servlet request input stream corrupt larg pu ts time larg put test thing mb corrupt corrupt small file smaller didn test extens total length data read correct byte test point corrupt file chunk header output correct data byte copi correct corrupt data correct data chunk header data repeat instanc correct instanc produc correct data point input test servlet import java io import javax servlet import javax servlet http public class test extend http servlet public void put http servlet request req http servlet respons throw servlet io file output stream fo file output stream tmp servlet input stream req input stream byte buf byte int ret ret read buf fo write buf ret fo close close print writer pw writer pw println pw flush pw close,data configur http chunk encod put result
13731,1,final request respons session variabl capabl declar request respons session variabl jsp servic function final tunabl featur tomcat web xml file featur request respons session variabl anonym implement class declar iter element includ jsp file static usag iter jsp file,declar request respons session variabl jsp final
15688,1,full qualifi import jasper gener java file compil templat file unaesthet demonstr nice side effect simpl page import mypackag jspfactori full qualifi bunch import stament jspx factori jsp factori default factori jspx factori javax servlet jsp jsp factori default factori don refer don spec conflict shouldn bad idea full qualifi import,jspx factori jsp factori factori jspx factori jsp jsp factori factori
18462,1,system err overriden output system eclips develop run tomcat eclips nice featur eclips displai system blue send system err displai red tomcat run catalina overrid system err make point system inconvini becaus harder search error messag list million trivial,tomcat nice system blue system tomcat catalina overrid system system inconvini error messag million trivial
18797,1,memori user rule doesn valid user attribut implement org apach catalina realm memori rule set begin dosen valid attribut ad user memori realm usernam present null usernam caus odd problem basic method check paramet pass memori realm add user null call method,memori user user attribut
19444,1,jndi authent role anonym access jndi realm locat role anonym access secur purpos valid user bind directori case role access bound user user discuss briefli tomcat user list sound discuss previous idea reject submit bug code requir role anonym document make clear case tomcat servlet jsp realm configur bind directori authent user access role document explicetli state case hope accept enhanc attempt attach modifi jndi realm authent connect obtain role art,secur valid user bind directori
21157,1,cooki set cooki write data servlet set header cooki write data servlet output stream servlet write data header commit cooki write data add cooki respons code work bug cooki write small amount data respons add cooki data held buffer wire header commit pure luck work easili expos bug write charact respons add cooki call cooki ad respons back client fix simpl move respons add cooki respons writer,respons cooki
21669,1,jndi realm role base pattern enahnc role base attribut fxed locat directori simpl role base user dn enhanc suggest role base role base base entri role search search base top level directori context option includ pattern replac corrospond part user distinguish return javax realm defint server xml role base role base ou group major code accomplish jndi realm role string base null role base format null parser np context parser np pars dn string part string size int idx idx size idx part idx idx base role base format format part perform configur search process result debug log search role base base attribut role log filter express filter enumer result context search base filter control art,role base attribut fxed directori
25060,1,reload context orphan open jndi datasourc connect fiddl determin abil real bug jndi datasourc connect postgresql server jndi resourc reader writer implement system replic deal write read connect summar system connect postgr reus reader writer load number increas slowli back end idl connect reader writer left load reload context datasourc context specif datasourc number connect jump reload produc connect min restart server reload persist connect abandon orphan eventu hit max connect aquir system fail abandond collect paramet ad debug log code ensur inde call close connect checkout error case useag reload connect leakag solari machin hotfix tar gz appli inform requir develop environ somon attach jdb hammer thing product system repro wayn,max abandond collect paramet ad debug log ensur checkout error case
26701,1,enabl web applic regist stream handler stream handler factori regist vm tomcat regist dir context stream handler factori jndi protocol web applic run insid regist handler custom scheme dir context stream handler factori enhanc applic regist stream handler custom scheme made properti context xml file enhanc futur,properti context file
27122,1,plugin access compon tomcat ssl ssl fail content type header set imag svg xml ve failur ssl run solari machin unam sun os hostnam remov gener sun sparc sunw ultra attempt window unabl duplic error reliabl fail attempt specif solari machin chanc ll creat test case reproduc solari machin show stopper releas made todai press time basic jsp page creat svg file becaus set content type header imag svg xml mime type set page fail load internet explor sp messag connect fail similar attempt made opera opera respond crash mozilla successfulli download file reset mime type page text plain browser access page failur back rev tomcat version resolv issu access page browser ll creat test case todai verifi isn svg jsp fail creat svg press time,os remov gener sunw attempt error reliabl fail attempt machin creat test case machin show basic jsp page creat svg set type header imag svg mime type set page fail messag connect fail attempt opera opera download mime type page plain access page failur
27988,1,unhelp file found rais org apach resourc dir context url connect rais file found line messag string line throw file found url file make easier diagnos mistak server configur,org resourc dir context url connect rais file found line
28852,1,failonerror attribut ant task failonerror boolean attribut manag ant task nice flexibl oper ant build file attach patch week fix unecessari rs respons read print miss url encod task,attribut task boolean attribut nice oper ant build unecessari task
29727,1,jndi env entri reload context reload environ entri web xml applic context restart jndi context environ entri tomcat admin interfac context correct code check environ initi context ic initi context enumer enum ic list bind java comp env enum bind bind bind enum jndi set properti bind bind object system println jndi set bind bind object catch system err println unabl read jndi set web xml fragment env entri env entri databas url env entri env entri jdbc hsqldb hsql localhost env entri env entri type java lang string env entri type env entri,environ entri context
29936,1,xml parser load problem jstl version tomcat saxon crimson web app crimson saxon webapp lib tomcat crimson xml parser read web xml compil jsp prefix error org apach jasper jasper valid error messag tag librari valid null java lang illeg state declar prefix context valid error messag tag librari valid fmt null java lang illeg state declar prefix context remov crimson tomcat saxon aelfr parser fail read web xml javax xml parser parser configur elfr parser namespac awar remov saxon crimson default xerc tomcat endors directori tomcat parser web app read web xml xerc endors directori web app run problem version tomcat servic mechan properti file java jakarta tomcat work catalina localhost diabet loader meta inf servic find document parser won caus problem tomcat set parser xslt processor comment gratefulli receiv peter nevil,web app problem version
30949,1,fail includ request respons unwrap org apach catalina core applic dispatch includ servlet request request servlet respons respons invok call perform includ request respons object unwrap servlet io thrown unwrap lead problem environ cross context includ perform web app perform includ servlet web app servlet web app throw servlet web app catch servlet attempt forward error jsp step fail due fact request unwrap activ request servlet context web app jsp file found,servlet io unwrap lead problem environ includ perform
31027,1,major error minor whitespac error properti file develop accident tab charact port number properti file tomcat instanc prevent tomcat listen port difficult track tomcat run properti file reader easili trim excess whitespac entri,properti file
